No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0153	8	00	80	10	FF	00	FF	00	8E
2	0.213	0	04F2	8	20	00	90	38	00	00	00	AD
3	0.469	0	0220	8	E8	13	06	24	0C	30	FF	0F
4	0.725	0	04F0	8	00	00	14	00	00	6F	5D	00
5	2.816	0	02B0	5	E5	FF	00	07	C0	-1	-1	-1
6	3.072	0	0165	8	0D	F8	7F	00	00	00	00	8A
7	3.328	0	02A0	8	02	00	45	90	B2	2B	60	0B
8	3.541	0	0080	8	00	17	2A	0C	2C	1E	2C	D8
9	3.712	0	0050	4	00	83	00	00	-1	-1	-1	-1
10	3.968	0	0081	8	40	84	45	00	00	00	00	F8
11	4.224	0	018F	8	00	16	2C	00	00	4D	00	00
12	4.480	0	0260	8	05	2C	00	30	2E	9C	5F	01
13	4.693	0	0316	8	05	2C	2A	0C	2C	1E	00	7F
14	4.949	0	0329	8	40	A1	81	8C	11	2E	00	10
15	5.205	0	0370	8	FF	20	00	80	FF	00	00	64
16	5.418	0	043F	8	00	40	60	FF	51	74	0B	00
17	5.674	0	0440	8	FF	50	00	00	FF	80	0B	00
18	5.930	0	04F0	8	00	00	C8	00	00	83	4F	0E
19	6.144	0	04B1	8	59	9E	EA	01	00	00	00	E2
20	6.400	0	0164	8	00	08	00	00	00	00	03	0B
21	6.656	0	04F1	8	40	19	00	00	00	00	00	00
22	6.912	0	0545	8	D8	1D	00	8B	7A	00	7C	00
23	7.168	0	051A	8	00	03	00	00	00	00	00	00
24	7.381	0	0690	8	03	00	00	20	80	00	10	00
25	7.637	0	0350	8	05	68	75	44	46	20	00	3A
26	9.984	0	0153	8	00	80	10	FF	00	FF	10	9E
27	10.240	0	01F1	8	00	99	00	00	00	00	00	00
28	10.922	0	0220	8	E9	1B	09	14	0C	00	FF	0F
29	11.861	0	02B0	5	E6	FF	00	07	E1	-1	-1	-1
30	12.074	0	0165	8	0D	F8	7F	00	00	00	01	8B
31	12.330	0	02A0	8	A2	00	45	90	B2	2B	60	0B
32	12.885	0	0260	8	05	2C	00	30	2E	9C	5D	12
33	13.141	0	0018	8	00	00	00	60	00	00	20	00
34	13.397	0	0080	8	00	17	1C	0C	2B	1E	2C	C9
35	13.653	0	0081	8	40	84	45	00	00	00	00	E9
36	14.976	0	018F	8	00	16	2C	00	00	4D	00	00
37	15.189	0	0316	8	05	2B	1C	0C	2C	1E	00	7F
38	15.445	0	0329	8	40	A1	81	8C	11	2E	00	10
39	15.701	0	0370	8	FF	20	00	80	FF	00	00	28
40	15.957	0	0382	8	40	FE	0F	00	00	00	00	04
41	16.170	0	043F	8	00	40	60	FF	51	7C	0B	00
42	16.426	0	0440	8	FF	A0	00	00	FF	84	0B	00
43	16.682	0	04B0	8	00	40	00	00	00	40	00	80
44	16.938	0	0164	8	00	08	00	00	00	00	04	0C
45	17.194	0	04F2	8	20	00	40	38	00	00	00	E5
46	17.408	0	0545	8	D8	1D	00	8B	72	00	78	00
47	19.882	0	0153	8	00	80	10	FF	00	FF	20	AE
48	20.138	0	04F2	8	20	00	90	38	00	00	00	AE
49	20.352	0	0220	8	EB	23	07	24	0C	10	00	10
50	20.608	0	04F0	8	00	00	16	00	00	6F	5D	00
51	20.864	0	04F1	8	00	12	03	00	00	00	00	00
52	21.162	0	0690	8	03	00	00	20	80	00	00	00
53	21.845	0	02B0	5	E5	FF	00	07	E2	-1	-1	-1
54	22.058	0	0165	8	0D	F8	7F	00	00	00	02	88
55	22.314	0	0316	8	05	2B	1A	0C	2C	1E	00	7F
56	22.869	0	018F	8	00	16	2C	00	00	4D	00	00
57	23.125	0	0080	8	00	17	1A	0C	2B	1E	2C	DA
58	23.381	0	0081	8	40	84	45	00	00	00	00	DA
59	23.594	0	0260	8	05	2C	00	30	2E	9C	5D	21
60	23.893	0	02A0	8	C2	00	45	90	B2	2B	60	0B
61	24.149	0	0329	8	40	A1	81	8C	11	2E	00	10
62	24.362	0	0370	8	FF	20	00	80	FF	00	00	EC
63	24.618	0	043F	8	00	40	60	FF	51	80	0B	00
64	24.917	0	0440	8	FF	F0	00	00	FF	88	0B	00
65	25.173	0	04F0	8	00	00	CA	00	00	83	4F	0E
66	25.429	0	0545	8	D8	1D	00	8B	72	00	78	00
67	25.642	0	04B1	8	59	9E	EA	01	00	00	00	E2
68	25.941	0	0164	8	00	08	00	00	00	00	05	0D
69	26.879	0	0350	8	05	68	85	44	46	20	00	CA
70	29.951	0	0153	8	00	80	10	FF	00	FF	30	BE
71	30.165	0	01F1	8	00	99	00	00	00	00	00	00
72	30.933	0	0220	8	EC	2B	06	34	0C	10	02	10
73	31.914	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
74	32.170	0	0165	8	0D	F8	7F	00	00	00	03	89
75	32.426	0	0260	8	05	2C	00	30	2E	9C	5D	30
76	32.938	0	0080	8	00	17	1A	0C	2B	1E	2C	CB
77	33.151	0	0081	8	40	84	45	00	00	00	00	CB
78	33.407	0	018F	8	00	16	2C	00	00	4D	00	00
79	33.621	0	02A0	8	62	00	45	90	B2	2B	60	0B
80	33.919	0	02B0	5	E6	FF	00	07	C3	-1	-1	-1
81	34.133	0	0316	8	05	2B	1A	0C	2C	1E	00	7F
82	34.389	0	0329	8	40	A1	81	8C	11	2E	00	10
83	34.645	0	0370	8	FF	20	00	80	FF	00	00	A0
84	34.858	0	0382	8	40	FE	0F	00	00	00	00	08
85	35.114	0	043F	8	00	40	60	FF	51	80	0B	00
86	35.370	0	0440	8	FF	00	00	00	FF	80	0B	00
87	35.626	0	04B0	8	00	80	00	00	00	40	00	80
88	35.882	0	0164	8	00	08	00	00	00	00	06	0E
89	36.138	0	04F2	8	20	00	40	38	00	00	00	E6
90	36.351	0	0545	8	D8	1D	00	8C	71	00	77	00
91	38.954	0	02C0	8	3D	00	00	00	00	00	00	00
92	39.935	0	0153	8	00	80	10	FF	00	FF	40	CE
93	40.191	0	0220	8	EC	33	07	14	0C	20	05	10
94	41.215	0	04F2	8	20	00	90	38	00	00	00	AF
95	41.471	0	04F0	8	00	00	18	00	00	6F	5D	00
96	41.855	0	02B0	5	E5	FF	00	07	84	-1	-1	-1
97	42.111	0	0165	8	0D	F8	7F	00	00	00	04	8E
98	42.367	0	018F	8	00	16	2C	00	00	4D	00	00
99	42.965	0	0080	8	00	17	1A	0C	2B	1E	2C	BC
100	43.178	0	0081	8	40	84	45	00	00	00	00	BC
