No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0316	8	05	2F	D2	0B	2F	1E	00	7F
2	0.256	0	0018	8	00	00	00	60	00	00	20	00
3	0.470	0	0260	8	05	2F	00	30	2E	9A	63	1A
4	0.982	0	0080	8	00	17	D2	0B	2F	1E	2F	C1
5	1.238	0	0081	8	40	84	45	00	00	00	00	61
6	1.494	0	018F	8	00	16	2F	00	00	4D	00	00
7	1.707	0	02A0	8	A2	00	45	90	B2	2B	60	0B
8	2.006	0	0329	8	85	A2	81	8C	11	2D	00	10
9	2.219	0	0370	8	FF	20	00	80	FF	00	00	28
10	2.475	0	0382	8	40	FE	0F	00	00	00	00	04
11	2.731	0	043F	8	00	40	60	FF	50	44	0B	00
12	2.987	0	0440	8	FF	A0	00	00	FF	48	0B	00
13	3.243	0	04B0	8	00	40	00	40	00	40	00	80
14	3.456	0	0164	8	00	08	00	00	00	00	0C	04
15	3.712	0	04F2	8	20	00	80	38	00	00	00	D9
16	3.968	0	0545	8	D8	1E	00	8A	92	00	92	00
17	7.680	0	04F2	8	20	00	D0	38	00	00	00	A2
18	7.979	0	04F0	8	00	00	FE	00	00	6F	5D	00
19	8.235	0	0153	8	00	80	10	FF	00	FF	70	FE
20	8.491	0	04F1	8	00	12	03	00	00	00	00	00
21	8.704	0	0220	8	E9	23	09	3C	0C	10	02	10
22	8.960	0	0690	8	03	00	00	20	80	00	10	00
23	9.131	0	02B0	5	E5	FF	00	07	6A	-1	-1	-1
24	9.387	0	0165	8	0D	F8	7F	00	00	00	0A	80
25	9.984	0	0316	8	05	2F	DC	0B	2F	1E	00	7F
26	10.240	0	0260	8	05	2F	00	30	2E	9A	63	29
27	10.496	0	018F	8	00	16	2F	00	00	4D	00	00
28	10.710	0	0080	8	00	17	DC	0B	2F	1E	2F	12
29	11.008	0	0081	8	40	84	45	00	00	00	00	52
30	11.222	0	02A0	8	C2	00	45	90	B2	2B	60	0B
31	11.435	0	0329	8	D7	A2	81	8C	11	2D	00	10
32	11.691	0	0370	8	FF	20	00	80	FF	00	00	EC
33	12.032	0	043F	8	00	40	60	FF	50	44	0B	00
34	12.246	0	0440	8	FF	F0	00	00	FF	44	0B	00
35	12.502	0	04F0	8	00	00	B2	00	00	83	4F	0E
36	12.758	0	0545	8	D8	1E	00	8A	92	00	92	00
37	13.014	0	04B1	8	59	9E	EA	01	00	00	00	E2
38	13.270	0	0164	8	00	08	00	00	00	00	0D	05
39	13.995	0	0350	8	05	68	C5	44	46	20	00	8A
40	18.005	0	0153	8	00	80	10	FF	00	FF	80	0E
41	18.261	0	01F1	8	00	99	00	00	00	00	00	00
42	18.517	0	0220	8	E9	2B	05	0C	0C	10	00	10
43	18.944	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
44	19.200	0	0165	8	0D	F8	7F	00	00	00	0B	81
45	19.968	0	02A0	8	62	00	45	90	B2	2B	60	0B
46	20.181	0	02B0	5	E5	FF	00	07	7B	-1	-1	-1
47	20.395	0	0080	8	00	17	DC	0B	2F	1E	2F	03
48	20.651	0	0081	8	40	84	45	00	00	00	00	43
49	20.992	0	018F	8	00	16	2F	00	00	4D	00	00
50	21.248	0	0260	8	05	2F	00	30	2E	9A	63	38
51	21.461	0	0316	8	05	2F	DC	0B	2F	1E	00	7F
52	21.717	0	0329	8	D7	A2	81	8C	11	2D	00	10
53	22.016	0	0370	8	FF	20	00	80	FF	00	00	A0
54	22.272	0	0382	8	40	FE	0F	00	00	00	00	08
55	22.528	0	043F	8	00	40	60	FF	50	40	0B	00
56	22.784	0	0440	8	FF	00	00	00	FF	40	0B	00
57	22.997	0	04F2	8	20	00	80	38	00	00	00	DA
58	23.253	0	04B0	8	00	80	00	40	00	40	00	80
59	23.509	0	0164	8	00	08	00	00	00	00	0E	06
60	23.723	0	0545	8	D8	1E	00	8B	92	00	92	00
61	28.032	0	0153	8	00	80	10	FF	00	FF	90	1E
62	28.245	0	0220	8	E9	33	08	2C	0C	30	FF	0F
63	28.800	0	04F2	8	20	00	D0	38	00	00	00	A3
64	29.056	0	02C0	8	3D	00	00	00	00	00	00	00
65	29.312	0	04F0	8	00	00	00	00	00	6F	5D	00
66	29.568	0	0165	8	0D	F8	7F	00	00	00	0C	86
67	29.952	0	02B0	5	E5	FF	00	07	0C	-1	-1	-1
68	30.208	0	043F	8	00	40	60	FF	50	3C	0B	00
69	30.464	0	0370	8	FF	20	00	80	FF	00	00	64
70	30.677	0	0260	8	05	2F	00	30	2E	9B	61	0C
71	31.019	0	02A0	8	02	00	45	90	B2	2B	60	0B
