No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04F2	8	20	00	40	38	00	00	00	F5
2	0.256	0	0153	8	00	80	10	FF	00	FF	70	FE
3	0.469	0	04F0	8	00	00	A4	00	00	6F	5D	00
4	0.725	0	0220	8	E7	13	05	24	0C	10	08	10
5	0.939	0	04F1	8	00	12	03	00	00	00	00	00
6	1.109	0	05F0	2	00	00	-1	-1	-1	-1	-1	-1
7	1.365	0	051A	8	00	03	00	00	00	00	00	00
8	1.536	0	02B0	5	E5	FF	00	07	C0	-1	-1	-1
9	1.792	0	0690	8	03	00	00	20	80	00	2C	00
10	2.133	0	0165	8	0C	08	80	00	00	00	00	84
11	2.389	0	0316	8	05	31	C6	0B	31	1E	00	7F
12	2.603	0	018F	8	00	16	31	00	00	4D	00	00
13	2.859	0	0260	8	05	31	00	30	2E	9B	6B	0F
14	3.115	0	0080	8	00	17	C6	0B	31	1E	31	C8
15	3.371	0	0081	8	40	84	45	00	00	00	00	F8
16	3.627	0	02A0	8	02	00	45	90	B2	2B	60	0B
17	3.840	0	0329	8	0F	A2	81	8C	11	2D	00	10
18	4.096	0	0370	8	FF	20	00	80	FF	00	00	64
19	4.352	0	043F	8	00	40	60	FF	50	50	0B	00
20	4.565	0	0440	8	FF	50	00	00	FF	3C	0B	00
21	4.821	0	0545	8	D8	1E	00	8B	A5	00	A6	00
22	5.077	0	04F0	8	00	00	58	00	00	83	4F	0E
23	5.291	0	04B1	8	59	9E	EA	01	00	00	00	E2
24	5.547	0	0164	8	00	08	00	00	00	00	03	0B
25	6.144	0	0350	8	05	68	F5	44	47	20	00	BB
26	10.283	0	0153	8	00	80	10	FF	00	FF	80	0E
27	10.539	0	01F1	8	00	99	00	00	00	00	00	00
28	10.752	0	0220	8	E7	1B	06	24	0C	10	08	10
29	11.136	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
30	11.349	0	0165	8	0C	08	80	00	00	00	01	85
31	12.160	0	02B0	5	E5	FF	00	07	D1	-1	-1	-1
32	12.416	0	0316	8	05	31	C6	0B	31	1E	00	7F
33	12.672	0	0260	8	05	31	00	30	2E	9B	6B	1E
34	12.885	0	02A0	8	A2	00	45	90	B2	2B	60	0B
35	13.226	0	0080	8	00	17	C6	0B	31	1E	31	B9
36	13.482	0	0081	8	40	84	45	00	00	00	00	E9
37	13.738	0	018F	8	00	16	31	00	00	4D	00	00
38	13.952	0	0329	8	0F	A2	81	8C	11	2D	00	10
39	14.250	0	0370	8	FF	20	00	80	FF	00	00	28
40	14.464	0	0382	8	40	FE	0F	00	00	00	00	04
41	14.720	0	043F	8	00	40	60	FF	50	44	0B	00
42	14.976	0	0440	8	FF	A0	00	00	FF	38	0B	00
43	15.232	0	04F2	8	20	00	F0	38	00	00	00	AD
