No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04B0	8	00	80	00	C0	00	40	00	80
2	0.213	0	0164	8	00	08	00	00	00	00	0E	06
3	0.469	0	0545	8	D8	13	00	8B	62	00	66	00
4	0.725	0	00A0	8	60	71	2E	0C	00	23	00	02
5	0.939	0	00A1	8	7E	81	80	80	30	00	00	00
6	4.352	0	04F2	8	20	00	80	38	00	00	00	BB
7	4.608	0	0153	8	00	80	10	FF	00	FF	B0	3E
8	4.821	0	04F0	8	00	00	30	00	00	6F	5D	00
9	5.077	0	0220	8	E7	33	02	1C	0C	00	FF	0F
10	5.461	0	02B0	5	E5	FF	00	07	0C	-1	-1	-1
11	5.760	0	0165	8	0D	F8	7F	00	00	00	0C	86
12	6.485	0	0316	8	05	2A	44	0C	2B	1F	00	7F
13	6.698	0	018F	8	00	16	2B	00	00	4D	00	00
14	6.954	0	0080	8	00	17	44	0C	2A	1F	2B	74
15	7.509	0	0081	8	40	84	45	00	00	00	00	34
16	7.722	0	0260	8	05	2B	00	30	2E	9C	55	0C
17	7.978	0	02A0	8	02	00	45	90	B2	2B	60	0B
18	8.192	0	0329	8	0F	A2	81	8C	11	2D	00	10
19	8.448	0	0370	8	FF	20	00	80	FF	00	00	64
20	8.704	0	043F	8	00	40	60	FF	50	A0	0B	00
21	8.917	0	0440	8	FF	50	00	00	FF	A0	0B	00
22	9.173	0	04F0	8	00	00	E4	00	00	83	4F	0E
23	9.429	0	0545	8	D8	20	00	8B	62	00	66	00
24	9.642	0	04B1	8	59	9E	EA	01	00	00	00	E2
25	9.898	0	0164	8	00	08	00	00	00	00	0F	07
26	10.538	0	0350	8	05	68	55	44	46	20	00	1A
27	14.549	0	0153	8	00	80	10	FF	00	FF	C0	4E
28	14.805	0	01F1	8	00	99	00	00	00	00	00	00
29	15.061	0	0220	8	E5	3B	03	1C	0C	00	FF	0F
30	15.445	0	02B0	5	E5	FF	00	07	1D	-1	-1	-1
31	16.469	0	0165	8	0D	F8	7F	00	00	00	0D	87
32	16.725	0	043F	8	00	40	60	FF	50	A0	0B	00
33	16.981	0	0370	8	FF	20	00	80	FF	00	00	28
34	17.493	0	0440	8	FF	A0	00	00	FF	A0	0B	00
35	17.749	0	0260	8	05	2B	00	30	2E	9C	59	17
36	17.962	0	018F	8	00	16	2B	00	00	4D	00	00
37	18.218	0	0080	8	00	17	44	0C	2C	20	2B	25
38	18.474	0	0081	8	40	84	45	00	00	00	00	25
39	18.688	0	02A0	8	A2	00	45	90	B2	2B	60	0B
40	18.944	0	0316	8	05	2C	44	0C	2B	20	00	7F
41	19.157	0	0329	8	0F	A2	81	8C	11	2D	00	10
42	19.413	0	0382	8	40	FE	0F	00	00	00	00	0C
43	19.669	0	04F2	8	20	00	30	38	00	00	00	F3
44	19.925	0	04B0	8	00	C0	00	C0	00	40	00	80
45	20.181	0	0164	8	00	08	00	00	00	00	00	08
46	20.394	0	0545	8	D8	20	00	8A	71	00	65	00
47	24.277	0	04F2	8	20	00	80	38	00	00	00	BC
48	24.533	0	0153	8	00	80	10	FF	00	FF	D0	5E
49	24.789	0	04F0	8	00	00	32	00	00	6F	5D	00
50	25.002	0	0220	8	E5	03	06	14	0C	00	FF	0F
51	25.386	0	02B0	5	E6	FF	00	07	1E	-1	-1	-1
52	26.495	0	0165	8	0D	F8	7F	00	00	00	0E	84
53	26.709	0	0316	8	05	2C	14	0C	2D	20	00	7F
54	26.965	0	0260	8	05	2D	00	30	2E	9C	59	24
55	27.221	0	018F	8	00	16	2D	00	00	4D	00	00
56	27.477	0	0080	8	00	17	14	0C	2C	20	2D	26
57	27.733	0	0081	8	40	84	45	00	00	00	00	16
58	27.946	0	02A0	8	C2	00	45	90	B2	2B	60	0B
59	28.202	0	0329	8	40	A2	81	8C	11	2D	00	10
60	28.501	0	0370	8	FF	20	00	80	FF	00	00	EC
61	28.714	0	043F	8	00	40	60	FF	50	A0	0B	00
62	28.970	0	0440	8	FF	F0	00	00	FF	A0	0B	00
63	29.226	0	04F0	8	00	00	E6	00	00	83	4F	0E
64	29.482	0	0545	8	D8	20	00	8B	71	00	76	00
65	29.738	0	04B1	8	59	9E	EA	01	00	00	00	E2
66	29.994	0	0164	8	00	08	00	00	00	00	01	09
67	30.250	0	059B	8	00	00	00	00	00	00	00	4C
68	30.506	0	0350	8	05	68	65	44	46	20	00	2A
69	34.474	0	0153	8	00	80	10	FF	00	FF	E0	6E
70	34.687	0	01F1	8	00	99	00	00	00	00	00	00
71	34.943	0	0220	8	E7	0B	06	04	09	00	FF	0F
72	35.370	0	02B0	5	E5	FF	00	07	3F	-1	-1	-1
73	36.394	0	0165	8	0D	F8	7F	00	00	00	0F	85
74	36.650	0	0316	8	05	2C	0C	0C	2D	1F	00	7F
75	36.906	0	0110	8	D0	3C	40	09	00	00	00	00
76	37.162	0	018F	8	00	16	2D	00	00	4D	00	00
77	37.418	0	0080	8	00	17	0C	0C	2C	1F	2D	C7
78	37.631	0	0081	8	40	84	45	00	00	00	00	07
79	37.887	0	0260	8	05	2D	00	30	2E	9C	59	33
80	38.101	0	02A0	8	62	00	45	90	B2	2B	60	0B
81	38.485	0	0329	8	40	A2	81	8C	11	2D	00	10
82	38.741	0	0370	8	FF	20	00	80	FF	00	00	A0
83	38.997	0	0382	8	40	FE	0F	00	00	00	00	00
84	39.253	0	043F	8	00	40	60	FF	50	A0	0B	00
85	39.466	0	0440	8	FF	00	00	00	FF	A0	0B	00
86	39.722	0	04F2	8	20	00	40	38	00	00	00	F4
87	39.978	0	04B0	8	00	00	00	00	00	40	00	80
88	40.234	0	0164	8	00	08	00	00	00	00	02	0A
89	40.490	0	0545	8	D8	20	00	8B	72	00	77	00
90	40.746	0	0587	8	00	00	00	00	00	00	00	04
91	44.287	0	04F2	8	20	00	90	38	00	00	00	BD
92	44.501	0	0153	8	00	80	10	FF	00	FF	00	8E
93	44.757	0	04F0	8	00	00	34	00	00	6F	5D	00
94	45.013	0	0220	8	E9	13	05	14	0C	00	FF	0F
95	45.354	0	02B0	5	E5	FF	00	07	C0	-1	-1	-1
96	46.420	0	0165	8	0C	08	80	00	00	00	00	84
97	46.676	0	0316	8	05	2C	0C	0C	2D	1F	00	7F
98	46.847	0	0050	4	00	83	00	00	-1	-1	-1	-1
99	47.103	0	018F	8	00	16	2D	00	00	4D	00	00
100	47.359	0	0080	8	00	17	0C	0C	2C	1F	2D	B8
