No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0153	8	00	80	10	FF	00	FF	E0	6E
2	0.256	0	0220	8	E9	03	07	0C	0C	00	FF	0F
3	1.024	0	02B0	5	E5	FF	00	07	A6	-1	-1	-1
4	1.280	0	04F2	8	20	00	E0	38	00	00	00	88
5	1.536	0	04F0	8	00	00	CA	00	00	6F	5D	00
6	2.176	0	0165	8	0D	F8	7F	00	00	00	06	8C
7	2.347	0	0120	4	00	00	00	00	-1	-1	-1	-1
8	2.603	0	0370	8	FF	20	00	80	FF	00	00	EC
9	2.816	0	043F	8	00	40	60	FF	50	74	0B	00
10	3.072	0	0260	8	05	30	00	30	2E	9B	5F	2B
11	3.328	0	018F	8	00	16	30	00	00	4D	00	00
12	3.584	0	0080	8	00	17	02	0C	30	20	30	4E
13	3.798	0	0081	8	40	84	45	00	00	00	00	9E
14	4.096	0	02A0	8	C2	00	45	90	B2	2B	60	0B
15	4.352	0	0316	8	05	30	02	0C	30	20	00	7F
16	4.608	0	0329	8	D7	A2	81	8C	11	2D	00	10
17	4.822	0	0440	8	FF	F0	00	00	FF	7C	0B	00
18	5.120	0	02C0	8	3D	00	00	00	00	00	00	00
19	5.376	0	04B1	8	59	9E	EA	01	00	00	00	E2
20	5.632	0	0164	8	00	08	00	00	00	00	09	01
21	5.888	0	04F0	8	00	00	7E	00	00	83	4F	0E
22	6.144	0	0517	8	00	00	00	00	00	00	00	00
23	6.400	0	0545	8	D8	14	00	89	8C	00	8D	00
24	6.614	0	0350	8	05	68	25	44	46	20	00	6A
25	10.155	0	0153	8	00	80	10	FF	00	FF	00	8E
26	10.411	0	01F1	8	00	99	00	00	00	00	00	00
27	10.624	0	0220	8	E9	0B	05	1C	0C	00	FF	0F
28	11.094	0	02B0	5	E6	FF	00	07	87	-1	-1	-1
29	12.075	0	0165	8	0D	F8	7F	00	00	00	07	8D
30	12.288	0	0316	8	05	30	02	0C	30	20	00	7F
31	12.544	0	018F	8	00	16	30	00	00	4D	00	00
32	12.800	0	0260	8	05	30	00	30	2E	9B	5F	3A
33	13.099	0	0080	8	00	17	02	0C	30	20	30	3F
34	13.355	0	0081	8	40	84	45	00	00	00	00	8F
35	13.611	0	02A0	8	62	00	45	90	B2	2B	60	0B
36	13.824	0	0329	8	D7	A2	81	8C	11	2D	00	10
37	14.208	0	0370	8	FF	20	00	80	FF	00	00	A0
38	14.464	0	0382	8	40	FE	0F	00	00	00	00	00
39	14.678	0	043F	8	00	40	60	FF	50	68	0B	00
40	14.934	0	0440	8	FF	00	00	00	FF	60	0B	00
41	15.190	0	04F2	8	20	00	90	38	00	00	00	C0
42	15.446	0	0510	8	00	00	00	00	00	00	00	00
43	15.701	0	04B0	8	00	00	00	C0	00	40	00	80
44	15.957	0	0164	8	00	08	00	00	00	00	0A	02
45	16.171	0	0545	8	D8	14	00	8B	8C	00	8D	00
46	16.427	0	00A0	8	63	71	30	0C	00	23	00	02
47	16.683	0	00A1	8	7E	81	80	80	30	00	00	00
48	20.053	0	04F2	8	20	00	E0	38	00	00	00	89
49	20.309	0	0153	8	00	80	10	FF	00	FF	10	9E
50	20.565	0	04F0	8	00	00	CC	00	00	6F	5D	00
51	20.779	0	0220	8	E8	13	06	2C	0C	30	FF	0F
52	21.120	0	02B0	5	E5	FF	00	07	48	-1	-1	-1
53	21.376	0	0165	8	0D	F8	7F	00	00	00	08	82
54	22.101	0	0316	8	05	30	02	0C	30	20	00	7F
55	22.357	0	018F	8	00	16	30	00	00	4D	00	00
56	22.613	0	0260	8	05	30	00	30	2E	9B	5F	0D
57	23.125	0	0080	8	00	17	02	0C	30	20	30	20
58	23.381	0	0081	8	40	84	45	00	00	00	00	70
59	23.595	0	02A0	8	02	00	45	90	B2	2B	60	0B
60	23.851	0	0329	8	0F	A2	81	8C	11	2D	00	10
61	24.149	0	0370	8	FF	20	00	80	FF	00	00	64
62	24.405	0	043F	8	00	40	60	FF	50	60	0B	00
63	24.661	0	0440	8	FF	50	00	00	FF	5C	0B	00
64	24.875	0	04F0	8	00	00	80	00	00	83	4F	0E
65	25.131	0	0545	8	D8	1E	00	8B	8C	00	8D	00
66	25.344	0	04B1	8	59	9E	EA	01	00	00	00	E2
67	25.600	0	0164	8	00	08	00	00	00	00	0B	03
68	26.155	0	0350	8	05	68	35	44	46	20	00	7A
69	30.165	0	0153	8	00	80	10	FF	00	FF	20	AE
70	30.421	0	01F1	8	00	99	00	00	00	00	00	00
71	30.635	0	0220	8	E7	1B	09	0C	0C	00	FF	0F
72	31.104	0	02B0	5	E5	FF	00	07	59	-1	-1	-1
73	31.360	0	0165	8	0D	F8	7F	00	00	00	09	83
74	32.128	0	0316	8	05	30	16	0C	2F	20	00	7F
75	32.341	0	0260	8	05	2F	00	30	2E	9B	5F	1E
76	33.109	0	02A0	8	A2	00	45	90	B2	2B	60	0B
77	33.365	0	0080	8	00	17	16	0C	30	20	2F	E1
78	33.579	0	0081	8	40	84	45	00	00	00	00	61
79	33.835	0	018F	8	00	16	2F	00	00	4D	00	00
80	34.091	0	0329	8	0F	A2	81	8C	11	2D	00	10
81	34.347	0	0370	8	FF	20	00	80	FF	00	00	28
82	34.603	0	0382	8	40	FE	0F	00	00	00	00	04
83	34.859	0	043F	8	00	40	60	FF	50	6C	0B	00
84	35.115	0	0440	8	FF	A0	00	00	FF	78	0B	00
85	35.328	0	04F2	8	20	00	90	38	00	00	00	C1
86	35.584	0	04B0	8	00	40	00	C0	00	40	00	80
87	35.840	0	0164	8	00	08	00	00	00	00	0C	04
88	36.096	0	0545	8	D8	1E	00	8B	8A	00	89	00
89	40.021	0	04F2	8	20	00	E0	38	00	00	00	8A
90	40.277	0	0153	8	00	80	10	FF	00	FF	30	BE
91	40.533	0	04F0	8	00	00	CE	00	00	6F	5D	00
92	40.746	0	0220	8	E8	23	07	1C	0C	00	FF	0F
93	41.045	0	02B0	5	E5	FF	00	07	6A	-1	-1	-1
94	42.112	0	0165	8	0D	F8	7F	00	00	00	0A	80
95	42.368	0	043F	8	00	40	60	FF	50	70	0B	00
96	42.624	0	0370	8	FF	20	00	80	FF	00	00	EC
97	43.093	0	02A0	8	C2	00	45	90	B2	2B	60	0B
98	43.349	0	0260	8	05	2F	00	30	2E	9B	5F	2D
99	43.605	0	0080	8	00	17	16	0C	30	20	2F	D2
100	43.818	0	0081	8	40	84	45	00	00	00	00	52
