No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0260	8	05	2D	00	30	2E	9C	59	33
2	0.214	0	0382	8	40	FE	0F	00	00	00	00	08
3	0.470	0	043F	8	00	40	60	FF	50	B4	0B	00
4	0.726	0	0440	8	FF	00	00	00	FF	B8	0B	00
5	0.982	0	04F2	8	20	00	40	38	00	00	00	A6
6	1.195	0	0545	8	D8	1E	00	88	75	00	75	00
7	1.451	0	04B0	8	00	80	00	00	00	40	00	80
8	1.707	0	0164	8	00	08	00	00	00	00	06	0E
9	5.888	0	0153	8	00	80	10	FF	00	FF	90	1E
10	6.102	0	0220	8	E6	33	08	24	0C	30	FF	0F
11	6.912	0	02B0	5	E5	FF	00	07	84	-1	-1	-1
12	7.126	0	0165	8	0D	08	80	00	00	00	04	81
13	7.382	0	04F2	8	20	00	90	38	00	00	00	EF
14	7.638	0	04F0	8	00	00	98	00	00	6F	5D	00
15	7.936	0	0316	8	05	2D	1E	0C	2D	20	00	7F
16	8.150	0	0260	8	05	2D	00	30	2E	9C	59	06
17	8.406	0	018F	8	00	16	2D	00	00	4D	00	00
18	8.918	0	0080	8	00	17	1E	0C	2D	20	2D	1C
19	9.174	0	0081	8	40	84	45	00	00	00	00	BC
20	9.387	0	02A0	8	02	00	45	90	B2	2B	60	0B
21	9.643	0	0329	8	D7	A2	81	8C	11	2E	00	10
22	9.899	0	0370	8	FF	20	00	80	FF	00	00	64
23	10.112	0	043F	8	00	40	60	FF	50	B4	0B	00
24	10.368	0	0440	8	FF	50	00	00	FF	B8	0B	00
25	10.624	0	04F0	8	00	00	4C	00	00	83	4F	0E
26	10.880	0	0545	8	D8	1E	00	89	75	00	75	00
27	11.093	0	04B1	8	59	9E	EA	01	00	00	00	E2
28	11.349	0	0164	8	00	08	00	00	00	00	07	0F
29	11.605	0	02C0	8	3D	00	00	00	00	00	00	00
30	11.861	0	0350	8	05	68	95	44	46	20	00	DA
31	15.957	0	0153	8	00	80	10	FF	00	FF	A0	2E
32	16.171	0	01F1	8	00	99	00	00	00	00	00	00
33	16.427	0	0220	8	E7	3B	07	34	0C	00	FF	0F
34	16.939	0	02B0	5	E6	FF	00	07	A5	-1	-1	-1
35	17.195	0	0165	8	0D	F8	7F	00	00	00	05	8F
36	17.963	0	0510	8	00	00	00	00	00	00	00	00
37	18.219	0	0316	8	05	2D	1E	0C	2D	20	00	7F
38	18.901	0	02A0	8	A2	00	45	90	B2	2B	60	0B
39	19.157	0	0080	8	00	17	1E	0C	2D	20	2D	0D
40	19.371	0	0081	8	40	84	45	00	00	00	00	AD
41	19.627	0	018F	8	00	16	2D	00	00	4D	00	00
42	19.883	0	0260	8	05	2D	00	30	2E	9C	59	15
43	20.096	0	0329	8	D7	A2	81	8C	11	2E	00	10
44	20.352	0	0370	8	FF	20	00	80	FF	00	00	28
45	20.608	0	0382	8	40	FE	0F	00	00	00	00	0C
46	20.864	0	043F	8	00	40	60	FF	50	B4	0B	00
47	21.077	0	0440	8	FF	A0	00	00	FF	B4	0B	00
48	21.333	0	04B0	8	00	C0	00	00	00	40	00	80
49	21.589	0	0164	8	00	08	00	00	00	00	08	00
50	21.845	0	04F2	8	20	00	40	38	00	00	00	A7
51	22.101	0	0545	8	D8	1E	00	89	74	00	74	00
52	22.869	0	00A0	8	62	71	66	0C	00	23	00	02
53	23.125	0	00A1	8	7D	81	80	80	2F	00	00	00
54	25.899	0	0153	8	00	80	10	FF	00	FF	B0	3E
55	26.112	0	04F2	8	20	00	90	38	00	00	00	F0
56	26.368	0	0220	8	E7	03	08	1C	0C	00	FF	0F
57	26.581	0	04F0	8	00	00	9A	00	00	6F	5D	00
58	27.008	0	02B0	5	E5	FF	00	07	A6	-1	-1	-1
59	27.264	0	0165	8	0D	F8	7F	00	00	00	06	8C
60	27.904	0	043F	8	00	40	60	FF	50	AC	0B	00
61	28.160	0	0316	8	05	2E	FE	0B	2E	20	00	7F
62	28.971	0	018F	8	00	16	2E	00	00	4D	00	00
63	29.184	0	0080	8	00	17	FE	0B	2E	20	2E	0E
64	29.440	0	0081	8	40	84	45	00	00	00	00	9E
65	29.696	0	0260	8	05	2E	00	30	2E	9C	5B	21
66	29.952	0	02A0	8	C2	00	45	90	B2	2B	60	0B
67	30.208	0	0329	8	D7	A2	81	8C	11	2E	00	10
68	30.421	0	0370	8	FF	20	00	80	FF	00	00	EC
69	30.677	0	0440	8	FF	F0	00	00	FF	A4	0B	00
70	30.976	0	04F0	8	00	00	4E	00	00	83	4F	0E
71	31.189	0	0545	8	D8	14	00	8A	7C	00	80	00
72	31.445	0	04B1	8	59	9E	EA	01	00	00	00	E2
73	31.701	0	0164	8	00	08	00	00	00	00	09	01
74	31.957	0	0350	8	05	68	A5	44	46	20	00	EA
75	35.968	0	0153	8	00	80	10	FF	00	FF	C0	4E
76	36.224	0	01F1	8	00	99	00	00	00	00	00	00
77	36.437	0	0220	8	E9	0B	06	1C	0C	00	FF	0F
78	36.906	0	02B0	5	E5	FF	00	07	B7	-1	-1	-1
79	37.162	0	0165	8	0D	08	80	00	00	00	07	82
80	37.930	0	043F	8	00	40	60	FF	50	A8	0B	00
81	38.186	0	0316	8	05	2E	FE	0B	2E	20	00	7F
82	38.954	0	0329	8	D7	A2	81	8C	11	2E	00	10
83	39.210	0	0080	8	00	17	FE	0B	2E	20	2E	FF
84	39.424	0	0081	8	40	84	45	00	00	00	00	8F
85	39.680	0	018F	8	00	16	2E	00	00	4D	00	00
86	39.936	0	0260	8	05	2E	00	30	2E	9C	5B	30
87	40.192	0	02A0	8	62	00	45	90	B2	2B	60	0B
88	40.405	0	0370	8	FF	20	00	80	FF	00	00	A0
89	40.661	0	0382	8	40	FE	0F	00	00	00	00	00
90	40.960	0	0440	8	FF	00	00	00	FF	A8	0B	00
91	41.173	0	04F2	8	20	00	40	38	00	00	00	A8
92	41.429	0	04B0	8	00	00	00	40	00	40	00	80
93	41.685	0	0164	8	00	08	00	00	00	00	0A	02
94	41.941	0	0545	8	D8	14	00	88	7D	00	81	00
95	45.909	0	04F2	8	20	00	90	38	00	00	00	F1
96	46.165	0	0153	8	00	80	10	FF	00	FF	D0	5E
97	46.421	0	04F0	8	00	00	9C	00	00	6F	5D	00
98	46.634	0	0220	8	E9	13	02	2C	0C	30	FF	0F
99	46.890	0	02B0	5	E5	FF	00	07	48	-1	-1	-1
100	47.146	0	0165	8	0D	F8	7F	00	00	00	08	82
