No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0153	8	00	80	10	FF	00	FF	40	CE
2	0.213	0	0220	8	E7	33	07	34	0C	00	FF	0F
3	0.810	0	04F2	8	20	00	10	38	00	00	00	B7
4	1.066	0	02C0	8	3D	00	00	00	00	00	00	00
5	1.322	0	04F0	8	00	00	28	00	00	6F	5D	00
6	1.493	0	02B0	5	E5	FF	00	07	84	-1	-1	-1
7	1.962	0	0165	8	0C	08	80	00	00	00	04	80
8	2.218	0	02A0	8	02	00	45	90	B2	2B	60	0B
9	2.432	0	0260	8	05	2B	00	30	2E	9B	57	0B
10	2.688	0	0080	8	00	17	44	0C	2A	1E	2B	0C
11	2.901	0	0081	8	40	84	45	00	00	00	00	BC
12	3.157	0	018F	8	00	16	2B	00	00	4D	00	00
13	3.413	0	0316	8	05	2A	44	0C	2B	1E	00	7F
14	3.626	0	0329	8	85	A2	81	8C	11	2E	00	10
15	3.882	0	0370	8	FF	20	00	80	FF	00	00	64
16	4.138	0	043F	8	00	40	60	FF	51	78	0B	00
17	4.352	0	0440	8	FF	50	00	00	FF	70	0B	00
18	4.608	0	04F0	8	00	00	DC	00	00	83	4F	0E
19	4.864	0	0545	8	D8	14	00	8B	6B	00	6F	00
20	5.077	0	04B1	8	59	9E	EA	01	00	00	00	E2
21	5.333	0	0164	8	00	08	00	00	00	00	07	0F
22	5.930	0	0350	8	05	68	15	44	46	20	00	5A
23	9.898	0	0153	8	00	80	10	FF	00	FF	50	DE
24	10.154	0	01F1	8	00	99	00	00	00	00	00	00
25	10.410	0	0220	8	E8	3B	06	24	0C	30	FF	0F
26	10.965	0	02B0	5	E5	FF	00	07	95	-1	-1	-1
27	11.221	0	0165	8	0D	F8	7F	00	00	00	05	8F
28	11.989	0	0316	8	05	2A	3E	0C	2B	1E	00	7F
29	12.202	0	0260	8	05	2B	00	30	2E	9B	57	1A
30	12.458	0	02A0	8	A2	00	45	90	B2	2B	60	0B
31	12.672	0	0080	8	00	17	3E	0C	2A	1E	2B	6D
32	12.970	0	0081	8	40	84	45	00	00	00	00	AD
33	13.226	0	018F	8	00	16	2B	00	00	4D	00	00
34	13.482	0	0329	8	85	A2	81	8C	11	2E	00	10
35	13.738	0	0370	8	FF	20	00	80	FF	00	00	28
36	14.037	0	0382	8	40	FE	0F	00	00	00	00	0C
37	14.250	0	043F	8	00	40	60	FF	51	7C	0B	00
38	14.506	0	0440	8	FF	A0	00	00	FF	80	0B	00
39	14.762	0	04F2	8	20	00	C0	38	00	00	00	EF
40	15.018	0	04B0	8	00	C0	00	80	00	40	00	80
41	15.274	0	0164	8	00	08	00	00	00	00	08	00
42	15.530	0	0510	8	00	00	00	00	00	00	00	00
43	15.743	0	0545	8	D8	14	00	8B	6C	00	70	00
44	15.999	0	00A0	8	5F	70	3C	0C	00	23	00	02
45	16.255	0	00A1	8	80	81	80	80	2F	00	00	00
46	18.986	0	0153	8	00	80	10	FF	00	FF	60	EE
47	19.711	0	04F2	8	20	00	10	38	00	00	00	B8
48	19.967	0	04F0	8	00	00	2A	00	00	6F	5D	00
49	20.223	0	0220	8	EA	03	04	2C	0C	30	FF	0F
50	20.906	0	02B0	5	E5	FF	00	07	A6	-1	-1	-1
51	21.162	0	0165	8	0C	08	80	00	00	00	06	82
52	21.973	0	0316	8	05	2A	3E	0C	2B	1E	00	7F
53	22.229	0	0260	8	05	2B	00	30	2E	9B	57	29
54	22.485	0	018F	8	00	16	2B	00	00	4D	00	00
55	22.698	0	0080	8	00	17	3E	0C	2A	1E	2B	5E
56	22.997	0	0081	8	40	84	45	00	00	00	00	9E
57	23.253	0	02A0	8	C2	00	45	90	B2	2B	60	0B
58	23.466	0	0329	8	85	A2	81	8C	11	2E	00	10
59	23.722	0	0370	8	FF	20	00	80	FF	00	00	EC
60	24.021	0	043F	8	00	40	60	FF	51	88	0B	00
61	24.277	0	0440	8	FF	F0	00	00	FF	94	0B	00
62	24.490	0	04F0	8	00	00	DE	00	00	83	4F	0E
63	24.746	0	0545	8	D8	1E	00	8B	6C	00	70	00
64	24.959	0	04B1	8	59	9E	EA	01	00	00	00	E2
65	25.215	0	0164	8	00	08	00	00	00	00	09	01
66	25.983	0	0350	8	05	68	25	44	46	20	00	6A
67	29.951	0	0153	8	00	80	10	FF	00	FF	70	FE
68	30.207	0	01F1	8	00	99	00	00	00	00	00	00
69	30.463	0	0220	8	E9	0B	06	1C	0C	00	FF	0F
70	30.890	0	02B0	5	E5	FF	00	07	B7	-1	-1	-1
71	31.146	0	0165	8	0C	F8	7F	00	00	00	07	8C
72	31.999	0	043F	8	00	40	60	FF	51	8C	0B	00
73	32.213	0	0370	8	FF	20	00	80	FF	00	00	A0
74	32.469	0	0440	8	FF	00	00	00	FF	94	0B	00
75	32.981	0	0260	8	05	2B	00	30	2E	9B	5B	34
76	33.194	0	02A0	8	62	00	45	90	B2	2B	60	0B
77	33.450	0	0080	8	00	17	3E	0C	2C	1E	2B	2F
78	33.663	0	0081	8	40	84	45	00	00	00	00	8F
79	33.962	0	018F	8	00	16	2B	00	00	4D	00	00
80	34.218	0	0316	8	05	2C	3E	0C	2B	1E	00	7F
81	34.431	0	0329	8	85	A2	81	8C	11	2E	00	10
82	34.687	0	0382	8	40	FE	0F	00	00	00	00	00
83	34.943	0	04F2	8	20	00	C0	38	00	00	00	F0
84	35.199	0	04B0	8	00	00	00	C0	00	40	00	80
85	35.455	0	0164	8	00	08	00	00	00	00	0A	02
86	35.668	0	0545	8	D8	1E	00	8B	7B	00	6F	00
87	39.636	0	04F2	8	20	00	10	38	00	00	00	B9
88	39.935	0	04F0	8	00	00	2C	00	00	6F	5D	00
89	40.191	0	0153	8	00	80	10	FF	00	FF	80	0E
90	40.404	0	0220	8	E7	13	07	3C	0C	00	FF	0F
91	40.959	0	02B0	5	E5	FF	00	07	48	-1	-1	-1
92	41.215	0	0165	8	0C	F8	7F	00	00	00	08	83
93	41.898	0	0316	8	05	2C	0E	0C	2C	1E	00	7F
