No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04F2	8	20	00	10	38	00	00	00	96
2	0.214	0	0153	8	00	80	10	FF	00	FF	C0	4E
3	0.470	0	04F0	8	00	00	E6	00	00	6F	5D	00
4	0.726	0	0220	8	E8	23	09	14	0C	10	00	10
5	0.939	0	04F1	8	00	12	03	00	00	00	00	00
6	1.152	0	02B0	5	E5	FF	00	07	E2	-1	-1	-1
7	1.366	0	0690	8	03	00	00	20	80	00	20	00
8	1.622	0	0165	8	0D	F8	7F	00	00	00	02	88
9	2.091	0	0316	8	05	30	0A	0C	30	20	00	7F
10	2.347	0	0260	8	05	30	00	30	2E	9B	63	26
11	3.072	0	018F	8	00	16	30	00	00	4D	00	00
12	3.328	0	0080	8	00	17	0A	0C	30	20	30	0A
13	3.584	0	0081	8	40	84	45	00	00	00	00	DA
14	3.798	0	02A0	8	C2	00	45	90	B2	2B	60	0B
15	4.096	0	0329	8	0F	A2	81	8C	11	2F	00	10
16	4.310	0	0370	8	FF	20	00	80	FF	00	00	EC
17	4.566	0	043F	8	00	40	60	FF	50	2C	0B	00
18	4.822	0	0440	8	FF	F0	00	00	FF	38	0B	00
19	5.078	0	04F0	8	00	00	9A	00	00	83	4F	0E
20	5.291	0	0545	8	D8	1E	00	8A	8E	00	91	00
21	5.547	0	04B1	8	59	9E	EA	01	00	00	00	E2
22	5.803	0	0164	8	00	08	00	00	00	00	05	0D
23	6.102	0	0350	8	05	68	05	44	46	20	00	4A
24	10.198	0	0153	8	00	80	10	FF	00	FF	D0	5E
25	10.411	0	01F1	8	00	99	00	00	00	00	00	00
26	10.667	0	0220	8	EB	2B	06	14	0C	20	03	10
27	11.008	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
28	11.264	0	0165	8	0D	08	80	00	00	00	03	86
29	12.032	0	02B0	5	E5	FF	00	07	F3	-1	-1	-1
30	12.288	0	0316	8	05	30	0A	0C	30	20	00	7F
31	12.544	0	0329	8	0F	A2	81	8C	11	2F	00	10
32	12.758	0	018F	8	00	16	30	00	00	4D	00	00
33	13.099	0	0080	8	00	17	0A	0C	30	20	30	FB
34	13.355	0	0081	8	40	84	45	00	00	00	00	CB
35	13.568	0	0260	8	05	30	00	30	2E	9B	63	35
36	13.824	0	02A0	8	62	00	45	90	B2	2B	60	0B
37	14.123	0	0370	8	FF	20	00	80	FF	00	00	A0
38	14.379	0	0382	8	40	FE	0F	00	00	00	00	08
39	14.635	0	043F	8	00	40	60	FF	50	3C	0B	00
40	14.891	0	0440	8	FF	00	00	00	FF	50	0B	00
41	15.147	0	04F2	8	20	00	C0	38	00	00	00	CE
42	15.360	0	0545	8	D8	1E	00	8B	8D	00	90	00
43	15.616	0	04B0	8	00	80	00	80	00	40	00	80
44	15.872	0	0164	8	00	08	00	00	00	00	06	0E
45	20.139	0	0153	8	00	80	10	FF	00	FF	E0	6E
46	20.352	0	0220	8	EB	33	07	04	0C	20	06	10
47	21.035	0	02B0	5	E6	FF	00	07	B4	-1	-1	-1
48	21.291	0	04F2	8	20	00	10	38	00	00	00	97
49	21.547	0	04F0	8	00	00	E8	00	00	6F	5D	00
50	22.059	0	0165	8	0D	F8	7F	00	00	00	04	8E
51	22.315	0	0316	8	05	30	0A	0C	30	20	00	7F
52	22.528	0	0370	8	FF	20	00	80	FF	00	00	64
53	22.784	0	0329	8	0F	A2	81	8C	11	2F	00	10
54	23.040	0	043F	8	00	40	60	FF	50	44	0B	00
