No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0153	8	00	80	10	FF	00	FF	B0	3E
2	0.256	0	01F1	8	00	99	00	00	00	00	00	00
3	0.469	0	0220	8	E6	3B	03	3C	0C	10	02	10
4	0.896	0	02B0	5	E6	FF	00	07	2D	-1	-1	-1
5	1.109	0	0165	8	0D	F8	7F	00	00	00	0D	87
6	1.920	0	0018	8	00	00	00	60	00	00	20	00
7	2.176	0	0260	8	05	2D	00	30	2E	9C	5B	13
8	2.944	0	02A0	8	A2	00	45	90	B2	2B	60	0B
9	3.200	0	0080	8	00	17	2E	0C	2E	20	2D	65
10	3.413	0	0081	8	40	84	45	00	00	00	00	25
11	3.669	0	018F	8	00	16	2D	00	00	4D	00	00
12	3.925	0	0316	8	05	2E	2E	0C	2D	20	00	7F
13	4.138	0	0329	8	85	A2	81	8C	11	2D	00	10
14	4.394	0	0370	8	FF	20	00	80	FF	00	00	28
15	4.650	0	0382	8	40	FE	0F	00	00	00	00	0C
16	4.906	0	043F	8	00	40	60	FF	50	98	0B	00
17	5.120	0	0440	8	FF	A0	00	00	FF	98	0B	00
18	5.376	0	04B0	8	00	C0	00	40	00	40	00	80
19	5.632	0	0164	8	00	08	00	00	00	00	00	08
20	5.888	0	04F2	8	20	00	20	38	00	00	00	EB
21	6.144	0	0545	8	D8	1D	00	8B	7D	00	7C	00
22	9.856	0	04F2	8	20	00	70	38	00	00	00	B4
23	10.112	0	0153	8	00	80	10	FF	00	FF	C0	4E
24	10.368	0	04F0	8	00	00	22	00	00	6F	5D	00
25	10.581	0	0220	8	E6	03	07	14	0C	20	05	10
26	10.837	0	04F1	8	00	12	03	00	00	00	00	00
27	11.008	0	02B0	5	E5	FF	00	07	2E	-1	-1	-1
28	11.264	0	0690	8	03	00	00	20	80	00	38	00
29	11.520	0	0165	8	0D	F8	7F	00	00	00	0E	84
30	11.946	0	043F	8	00	40	60	FF	50	9C	0B	00
31	12.202	0	0370	8	FF	20	00	80	FF	00	00	EC
32	13.013	0	0316	8	05	2D	28	0C	2E	20	00	7F
33	13.226	0	0080	8	00	17	28	0C	2D	20	2E	B6
34	13.482	0	0081	8	40	84	45	00	00	00	00	16
35	13.738	0	018F	8	00	16	2E	00	00	4D	00	00
36	13.952	0	0260	8	05	2E	00	30	2E	9C	5B	21
37	14.208	0	02A0	8	C2	00	45	90	B2	2B	60	0B
38	14.421	0	0329	8	85	A2	81	8C	11	2D	00	10
39	14.677	0	0440	8	FF	F0	00	00	FF	A0	0B	00
40	14.933	0	04F0	8	00	00	D6	00	00	83	4F	0E
41	15.146	0	0545	8	D8	1D	00	8C	78	00	7D	00
42	15.402	0	04B1	8	59	9E	EA	01	00	00	00	E2
43	15.658	0	0164	8	00	08	00	00	00	00	01	09
44	15.957	0	0350	8	05	68	E5	44	46	20	00	AA
45	20.053	0	0153	8	00	80	10	FF	00	FF	D0	5E
46	20.309	0	01F1	8	00	99	00	00	00	00	00	00
47	20.522	0	0220	8	E6	0B	0A	34	0C	10	02	10
48	20.949	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
49	21.205	0	0165	8	0D	F8	7F	00	00	00	0F	85
50	21.930	0	02B0	5	E5	FF	00	07	3F	-1	-1	-1
51	22.143	0	043F	8	00	40	60	FF	50	94	0B	00
52	22.399	0	02A0	8	62	00	45	90	B2	2B	60	0B
53	22.997	0	0260	8	05	2E	00	30	2E	9C	5B	30
54	23.253	0	0080	8	00	17	28	0C	2D	20	2E	A7
55	23.466	0	0081	8	40	84	45	00	00	00	00	07
56	23.722	0	018F	8	00	16	2E	00	00	4D	00	00
57	23.978	0	0316	8	05	2D	28	0C	2E	20	00	7F
58	24.234	0	0329	8	85	A2	81	8C	11	2D	00	10
59	24.490	0	0370	8	FF	20	00	80	FF	00	00	A0
60	24.703	0	0382	8	40	FE	0F	00	00	00	00	00
61	24.959	0	0440	8	FF	00	00	00	FF	90	0B	00
62	25.215	0	04F2	8	20	00	20	38	00	00	00	EC
63	25.471	0	04B0	8	00	00	00	80	00	40	00	80
64	25.727	0	0164	8	00	08	00	00	00	00	02	0A
65	25.941	0	0545	8	D8	1D	00	8A	79	00	7E	00
66	29.994	0	0153	8	00	80	10	FF	00	FF	E0	6E
67	30.250	0	0220	8	E7	13	08	04	0C	10	00	10
68	31.018	0	04F2	8	20	00	70	38	00	00	00	B5
69	31.231	0	02B0	5	E6	FF	00	07	F0	-1	-1	-1
70	31.445	0	04F0	8	00	00	24	00	00	6F	5D	00
71	31.701	0	0165	8	0D	F8	7F	00	00	00	00	8A
72	31.999	0	0316	8	05	2D	26	0C	2E	1F	00	7F
73	32.213	0	0260	8	05	2E	00	30	2E	9C	5B	03
74	32.469	0	018F	8	00	16	2E	00	00	4D	00	00
75	32.981	0	0080	8	00	17	26	0C	2D	1F	2E	D8
76	33.194	0	0081	8	40	84	45	00	00	00	00	F8
77	33.450	0	02A0	8	02	00	45	90	B2	2B	60	0B
78	33.706	0	0329	8	85	A2	81	8C	11	2D	00	10
79	34.047	0	02C0	8	3D	00	00	00	00	00	00	00
80	34.261	0	0370	8	FF	20	00	80	FF	00	00	64
81	34.517	0	043F	8	00	40	60	FF	50	94	0B	00
82	34.773	0	0440	8	FF	50	00	00	FF	94	0B	00
83	35.029	0	04F0	8	00	00	D8	00	00	83	4F	0E
84	35.242	0	0545	8	D8	1D	00	8B	7A	00	7F	00
85	35.498	0	04B1	8	59	9E	EA	01	00	00	00	E2
86	35.754	0	0164	8	00	08	00	00	00	00	03	0B
87	36.010	0	0350	8	05	68	F5	44	46	20	00	BA
88	40.021	0	0153	8	00	80	10	FF	00	FF	00	8E
89	40.234	0	01F1	8	00	99	00	00	00	00	00	00
90	40.490	0	0220	8	E8	1B	07	14	0C	00	FF	0F
91	40.917	0	02B0	5	E5	FF	00	07	D1	-1	-1	-1
92	41.983	0	0165	8	0D	F8	7F	00	00	00	01	8B
