No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04F2	8	20	00	20	38	00	00	00	EE
2	0.256	0	04F0	8	00	00	96	00	00	6F	5D	00
3	0.512	0	0153	8	00	80	10	FF	00	FF	80	0E
4	0.768	0	0220	8	E7	23	05	04	0C	00	FF	0F
5	1.238	0	02B0	5	E5	FF	00	07	E2	-1	-1	-1
6	1.451	0	0165	8	0C	08	80	00	00	00	02	86
7	2.262	0	0316	8	05	2D	1C	0C	2D	1E	00	7F
8	2.517	0	0260	8	05	2D	00	30	2E	9B	5B	23
9	2.773	0	018F	8	00	16	2D	00	00	4D	00	00
10	3.243	0	0080	8	00	17	1C	0C	2D	1E	2D	8A
11	3.499	0	0081	8	40	84	45	00	00	00	00	DA
12	3.755	0	02A0	8	C2	00	45	90	B2	2B	60	0B
13	3.968	0	0329	8	40	A2	81	8C	11	2D	00	10
14	4.224	0	0370	8	FF	20	00	80	FF	00	00	EC
15	4.480	0	043F	8	00	40	60	FF	50	80	0B	00
16	4.736	0	0440	8	FF	F0	00	00	FF	84	0B	00
17	4.949	0	04F0	8	00	00	4A	00	00	83	4F	0E
18	5.205	0	0545	8	D8	14	00	8C	7C	00	7D	00
19	5.461	0	04B1	8	59	9E	EA	01	00	00	00	E2
20	5.675	0	0164	8	00	08	00	00	00	00	05	0D
21	5.931	0	059B	8	00	00	00	00	00	00	00	C4
22	6.272	0	0350	8	05	68	85	44	46	20	00	CA
23	10.240	0	0153	8	00	80	10	FF	00	FF	90	1E
24	10.496	0	01F1	8	00	99	00	00	00	00	00	00
25	10.752	0	0220	8	E8	2B	07	14	0C	00	FF	0F
26	11.179	0	02B0	5	E5	FF	00	07	F3	-1	-1	-1
27	11.435	0	0165	8	0D	08	80	00	00	00	03	86
28	12.203	0	0316	8	05	2D	1C	0C	2D	1E	00	7F
29	12.459	0	018F	8	00	16	2D	00	00	4D	00	00
30	12.715	0	0080	8	00	17	1C	0C	2D	1E	2D	7B
31	12.928	0	0081	8	40	84	45	00	00	00	00	CB
32	13.227	0	0110	8	D0	3C	40	09	00	00	00	00
33	13.440	0	0260	8	05	2D	00	30	2E	9C	5B	31
34	13.696	0	02A0	8	62	00	45	90	B2	2B	60	0B
35	13.909	0	0329	8	40	A2	81	8C	11	2D	00	10
36	14.251	0	0370	8	FF	20	00	80	FF	00	00	A0
37	14.507	0	0382	8	40	FE	0F	00	00	00	00	08
38	14.763	0	043F	8	00	40	60	FF	50	80	0B	00
39	14.976	0	0440	8	FF	00	00	00	FF	80	0B	00
40	15.232	0	04F2	8	20	00	E0	38	00	00	00	A6
41	15.488	0	04B0	8	00	80	00	00	00	40	00	80
42	15.744	0	0164	8	00	08	00	00	00	00	06	0E
43	16.000	0	0545	8	D8	14	00	8B	7C	00	7D	00
44	16.341	0	0587	8	00	00	00	00	00	00	00	0E
45	20.011	0	04F2	8	20	00	30	38	00	00	00	EF
46	20.267	0	04F0	8	00	00	98	00	00	6F	5D	00
47	20.480	0	0153	8	00	80	10	FF	00	FF	A0	2E
48	20.736	0	0220	8	E8	33	05	24	0C	30	FF	0F
49	21.077	0	02B0	5	E5	FF	00	07	84	-1	-1	-1
50	22.315	0	0165	8	0D	F8	7F	00	00	00	04	8E
51	22.571	0	0316	8	05	2D	20	0C	2D	1E	00	7F
52	22.784	0	018F	8	00	16	2D	00	00	4D	00	00
53	22.955	0	0050	4	00	83	00	00	-1	-1	-1	-1
54	23.211	0	0080	8	00	17	20	0C	2D	1E	2D	1C
55	23.467	0	0081	8	40	84	45	00	00	00	00	BC
56	23.680	0	0260	8	05	2D	00	30	2E	9C	5B	04
57	23.936	0	02A0	8	02	00	45	90	B2	2B	60	0B
58	24.149	0	0329	8	85	A2	81	8C	11	2D	00	10
59	24.405	0	0370	8	FF	20	00	80	FF	00	00	64
60	24.661	0	043F	8	00	40	60	FF	50	78	0B	00
61	24.917	0	0440	8	FF	50	00	00	FF	70	0B	00
62	25.130	0	04F0	8	00	00	4C	00	00	83	4F	0E
63	25.386	0	0545	8	D8	14	00	8A	7C	00	7D	00
64	25.642	0	04B1	8	59	9E	EA	01	00	00	00	E2
65	25.898	0	0164	8	00	08	00	00	00	00	07	0F
66	26.112	0	04F1	8	40	19	00	00	00	00	00	00
67	26.368	0	051A	8	00	03	00	00	00	00	00	00
68	26.624	0	0690	8	03	00	00	20	80	00	38	00
69	26.880	0	0350	8	05	68	95	44	46	20	00	DA
70	30.250	0	0153	8	00	80	10	FF	00	FF	B0	3E
71	30.506	0	01F1	8	00	99	00	00	00	00	00	00
72	30.762	0	0220	8	E8	3B	01	34	0C	30	FF	0F
73	31.189	0	02B0	5	E6	FF	00	07	A5	-1	-1	-1
74	31.445	0	0165	8	0D	F8	7F	00	00	00	05	8F
75	32.256	0	0316	8	05	2D	20	0C	2D	1E	00	7F
76	32.512	0	0018	8	00	00	00	60	00	00	20	00
77	32.768	0	0260	8	05	2D	00	30	2E	9C	5B	13
78	33.280	0	0080	8	00	17	20	0C	2D	1E	2D	0D
79	33.493	0	0081	8	40	84	45	00	00	00	00	AD
80	33.749	0	018F	8	00	16	2D	00	00	4D	00	00
81	34.005	0	02A0	8	A2	00	45	90	B2	2B	60	0B
82	34.304	0	0329	8	85	A2	81	8C	11	2D	00	10
83	34.560	0	0370	8	FF	20	00	80	FF	00	00	28
84	34.816	0	0382	8	40	FE	0F	00	00	00	00	0C
85	35.029	0	043F	8	00	40	60	FF	50	7C	0B	00
86	35.285	0	0440	8	FF	A0	00	00	FF	84	0B	00
87	35.541	0	04B0	8	00	C0	00	00	00	40	00	80
88	35.797	0	0164	8	00	08	00	00	00	00	08	00
89	36.053	0	04F2	8	20	00	E0	38	00	00	00	A7
90	36.309	0	0545	8	D8	14	00	8A	7C	00	7D	00
91	40.064	0	04F2	8	20	00	30	38	00	00	00	F0
92	40.320	0	0153	8	00	80	10	FF	00	FF	C0	4E
93	40.576	0	04F0	8	00	00	9A	00	00	6F	5D	00
94	40.789	0	0220	8	E8	03	02	3C	0C	30	FF	0F
95	41.045	0	04F1	8	00	12	03	00	00	00	00	00
96	41.216	0	02B0	5	E5	FF	00	07	A6	-1	-1	-1
97	41.472	0	0690	8	03	00	00	20	80	00	28	00
98	41.728	0	0165	8	0C	F8	7F	00	00	00	06	8D
99	42.240	0	0316	8	05	2D	20	0C	2D	1E	00	7F
100	42.496	0	0260	8	05	2D	00	30	2E	9C	5B	22
