No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04F2	8	20	00	40	38	00	00	00	C5
2	0.299	0	04F0	8	00	00	44	00	00	6F	5D	00
3	0.555	0	0153	8	00	80	10	FF	00	FF	20	AE
4	0.811	0	04F1	8	00	12	03	00	00	00	00	00
5	1.024	0	0220	8	E6	13	07	04	0C	00	FF	0F
6	1.280	0	051A	8	00	03	00	00	00	00	00	00
7	1.408	0	05F0	2	00	00	-1	-1	-1	-1	-1	-1
8	1.664	0	0690	8	03	00	00	20	80	00	2C	00
9	1.877	0	02B0	5	E5	FF	00	07	C0	-1	-1	-1
10	2.389	0	0165	8	0D	F8	7F	00	00	00	00	8A
11	2.603	0	0260	8	05	2D	00	30	2E	9B	5F	01
12	2.859	0	018F	8	00	16	2D	00	00	4D	00	00
13	3.115	0	0080	8	00	17	04	0C	2D	1E	2D	38
14	3.371	0	0081	8	40	84	45	00	00	00	00	F8
15	3.584	0	02A0	8	02	00	45	90	B2	2B	60	0B
16	3.840	0	0316	8	05	2D	04	0C	2D	1E	00	7F
17	4.053	0	0329	8	85	A2	81	8C	11	2D	00	10
18	4.309	0	0370	8	FF	20	00	80	FF	00	00	64
19	4.565	0	043F	8	00	40	60	FF	51	60	0B	00
20	4.779	0	0440	8	FF	50	00	00	FF	5C	0B	00
21	5.035	0	04F0	8	00	00	F8	00	00	83	4F	0E
22	5.291	0	0545	8	D8	1E	00	8B	88	00	86	00
23	5.504	0	04B1	8	59	9E	EA	01	00	00	00	E2
24	5.760	0	0164	8	00	08	00	00	00	00	03	0B
25	6.357	0	0350	8	05	68	F5	44	46	20	00	BA
26	10.368	0	0153	8	00	80	10	FF	00	FF	30	BE
27	10.624	0	01F1	8	00	99	00	00	00	00	00	00
28	10.880	0	0220	8	E6	1B	04	24	0C	30	FF	0F
29	11.264	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
30	12.373	0	0165	8	0C	F8	7F	00	00	00	01	8A
31	12.544	0	02B0	5	E5	FF	00	07	D1	-1	-1	-1
32	12.800	0	0316	8	05	2D	04	0C	2D	1E	00	7F
33	13.013	0	0260	8	05	2D	00	30	2E	9B	5F	10
34	13.269	0	0080	8	00	17	04	0C	2D	1E	2D	29
35	13.525	0	0081	8	40	84	45	00	00	00	00	E9
36	13.738	0	018F	8	00	16	2D	00	00	4D	00	00
37	13.994	0	02A0	8	A2	00	45	90	B2	2B	60	0B
38	14.250	0	0329	8	85	A2	81	8C	11	2D	00	10
39	14.464	0	0370	8	FF	20	00	80	FF	00	00	28
40	14.720	0	0382	8	40	FE	0F	00	00	00	00	04
41	14.976	0	043F	8	00	40	60	FF	51	58	0B	00
42	15.232	0	0440	8	FF	A0	00	00	FF	50	0B	00
43	15.445	0	04F2	8	20	00	F0	38	00	00	00	FD
44	15.701	0	04B0	8	00	40	00	80	00	40	00	80
45	15.957	0	0164	8	00	08	00	00	00	00	04	0C
46	16.213	0	0545	8	D8	1E	00	8C	88	00	86	00
