No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0382	8	40	FE	0F	00	00	00	00	0C
2	0.256	0	0440	8	FF	A0	00	00	FF	5C	0B	00
3	0.512	0	04B0	8	00	C0	00	00	00	40	00	80
4	0.768	0	0164	8	00	08	00	00	00	00	08	00
5	0.982	0	04F2	8	20	00	B0	38	00	00	00	E7
6	1.238	0	0545	8	D8	1D	00	8B	86	00	88	00
7	1.494	0	0587	8	00	00	00	00	00	00	00	0C
8	4.907	0	04F2	8	20	00	00	38	00	00	00	B0
9	5.163	0	04F0	8	00	00	1A	00	00	6F	5D	00
10	5.419	0	0153	8	00	80	10	FF	00	FF	50	DE
11	5.675	0	0220	8	E7	03	00	2C	0C	30	FF	0F
12	6.315	0	02B0	5	E6	FF	00	07	96	-1	-1	-1
13	6.571	0	0165	8	0D	F8	7F	00	00	00	06	8C
14	7.382	0	0316	8	05	2D	F8	0B	2D	1E	00	7F
15	7.638	0	0260	8	05	2D	00	30	2E	9B	61	2C
16	7.851	0	018F	8	00	16	2D	00	00	4D	00	00
17	8.107	0	0080	8	00	17	F8	0B	2D	1E	2D	BE
18	8.363	0	0081	8	40	84	45	00	00	00	00	9E
19	8.576	0	02A0	8	C2	00	45	90	B2	2B	60	0B
20	8.832	0	0329	8	D7	A2	81	8C	11	2D	00	10
21	9.088	0	0370	8	FF	20	00	80	FF	00	00	EC
22	9.302	0	043F	8	00	40	60	FF	51	60	0B	00
23	9.558	0	0440	8	FF	F0	00	00	FF	64	0B	00
24	9.814	0	04F0	8	00	00	CE	00	00	83	4F	0E
25	10.027	0	0545	8	D8	1D	00	8B	86	00	88	00
26	10.283	0	04F1	8	40	19	00	00	00	00	00	00
27	10.539	0	04B1	8	59	9E	EA	01	00	00	00	E2
28	10.752	0	0164	8	00	08	00	00	00	00	09	01
29	11.008	0	0690	8	03	00	00	20	80	00	2C	00
30	11.264	0	0350	8	05	68	A5	44	46	20	00	EA
31	15.275	0	0153	8	00	80	10	FF	00	FF	60	EE
32	15.531	0	01F1	8	00	99	00	00	00	00	00	00
33	15.744	0	0220	8	E7	0B	01	1C	0C	00	FF	0F
34	16.171	0	02B0	5	E5	FF	00	07	B7	-1	-1	-1
35	16.427	0	0165	8	0D	F8	7F	00	00	00	07	8D
36	17.280	0	0316	8	05	2D	F8	0B	2D	1E	00	7F
37	17.493	0	02A0	8	62	00	45	90	B2	2B	60	0B
38	17.749	0	0080	8	00	17	F8	0B	2D	1E	2D	AF
39	18.005	0	0081	8	40	84	45	00	00	00	00	8F
40	18.261	0	018F	8	00	16	2D	00	00	4D	00	00
41	18.475	0	0260	8	05	2D	00	30	2E	9B	61	3B
42	18.731	0	0329	8	D7	A2	81	8C	11	2D	00	10
43	18.987	0	0370	8	FF	20	00	80	FF	00	00	A0
44	19.285	0	0382	8	40	FE	0F	00	00	00	00	00
45	19.541	0	043F	8	00	40	60	FF	51	60	0B	00
46	19.755	0	0440	8	FF	00	00	00	FF	60	0B	00
47	20.011	0	04F2	8	20	00	B0	38	00	00	00	E8
48	20.267	0	0545	8	D8	1D	00	8C	85	00	87	00
49	20.523	0	04B0	8	00	00	00	40	00	40	00	80
50	20.779	0	0164	8	00	08	00	00	00	00	0A	02
51	24.917	0	04F2	8	20	00	00	38	00	00	00	B1
52	25.173	0	04F0	8	00	00	1C	00	00	6F	5D	00
53	25.429	0	0153	8	00	80	10	FF	00	FF	70	FE
54	25.685	0	04F1	8	00	12	03	00	00	00	00	00
55	25.899	0	0220	8	E6	13	06	1C	0C	00	FF	0F
56	26.155	0	051A	8	00	03	00	00	00	00	00	00
57	26.283	0	05F0	2	00	00	-1	-1	-1	-1	-1	-1
58	26.539	0	0690	8	03	00	00	20	80	00	1C	00
59	26.709	0	02B0	5	E5	FF	00	07	48	-1	-1	-1
60	26.965	0	0165	8	0D	F8	7F	00	00	00	08	82
