No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0690	8	03	00	00	20	80	00	10	00
2	0.597	0	02B0	5	E5	FF	00	07	6A	-1	-1	-1
3	0.853	0	0165	8	0F	F8	7F	00	00	00	0A	82
4	1.066	0	02A0	8	C2	00	45	90	B2	2B	60	0B
5	1.664	0	0080	8	00	17	3C	0C	2E	1E	2E	C2
6	1.920	0	0081	8	40	84	45	00	00	00	00	52
7	2.176	0	018F	8	00	16	2E	00	00	4E	00	00
8	2.432	0	0260	8	05	2E	00	30	2E	9C	61	2A
9	2.688	0	0316	8	05	2E	3C	0C	2E	1E	00	7F
10	2.901	0	0329	8	D7	A1	81	8C	11	2E	00	10
11	3.157	0	0370	8	FF	20	00	80	FF	00	00	EC
12	3.413	0	043F	8	00	40	60	FF	51	7C	0B	00
13	3.754	0	0440	8	FF	F0	00	00	FF	7C	0B	00
14	3.968	0	04F0	8	00	00	92	00	00	83	4F	0E
15	4.224	0	04B1	8	59	9E	EA	01	00	00	00	E2
16	4.480	0	0164	8	00	08	00	00	00	00	0D	05
17	4.693	0	0545	8	D8	14	00	8B	89	00	88	00
18	4.949	0	0350	8	05	68	C5	44	46	20	00	8A
19	9.813	0	0153	8	00	80	10	FF	00	FF	80	0E
20	10.069	0	01F1	8	00	99	00	00	00	00	00	00
21	10.282	0	0220	8	E7	2B	0D	1C	09	20	01	10
22	10.794	0	0316	8	05	2D	44	0C	2D	1E	00	7F
23	11.007	0	0165	8	0F	F8	7F	00	00	00	0B	83
24	11.263	0	018F	8	00	16	2D	00	00	4E	00	00
25	11.519	0	0080	8	00	17	44	0C	2D	1E	2D	43
26	11.733	0	0081	8	40	84	45	00	00	00	00	43
27	11.989	0	0260	8	05	2D	00	30	2E	9C	5F	3D
28	12.245	0	02A0	8	62	00	45	90	B2	2B	60	0B
29	12.415	0	02B0	5	E5	FF	00	07	7B	-1	-1	-1
30	12.714	0	0329	8	D7	A1	81	8C	11	2E	00	10
31	12.970	0	0370	8	FF	20	00	80	FF	00	00	A0
32	13.226	0	0382	8	40	FE	0F	00	00	00	00	08
33	13.482	0	043F	8	00	40	60	FF	51	78	0B	00
34	13.738	0	0440	8	FF	00	00	00	FF	74	0B	00
35	13.994	0	04F2	8	20	00	80	38	00	00	00	CA
36	14.250	0	04B0	8	00	80	00	40	00	40	00	80
37	14.506	0	0164	8	00	08	00	00	00	00	0E	06
