No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04F2	8	20	00	F0	38	00	00	00	8F
2	0.214	0	0153	8	00	80	10	FF	00	FF	D0	5E
3	0.470	0	04F0	8	00	00	D8	00	00	6F	5D	00
4	0.683	0	0220	8	EA	33	03	14	0C	00	FF	0F
5	1.067	0	02B0	5	E6	FF	00	07	B4	-1	-1	-1
6	2.048	0	0165	8	0D	F8	7F	00	00	00	04	8E
7	2.304	0	0316	8	05	2E	D8	0B	2F	20	00	7F
8	2.518	0	018F	8	00	16	2F	00	00	4D	00	00
9	2.774	0	0260	8	05	2F	00	30	2E	9B	5D	01
10	3.072	0	0080	8	00	17	D8	0B	2E	20	2F	9C
11	3.328	0	0081	8	40	84	45	00	00	00	00	BC
12	3.542	0	02A0	8	02	00	45	90	B2	2B	60	0B
13	3.797	0	0329	8	85	A2	81	8C	11	2D	00	10
14	4.096	0	0370	8	FF	20	00	80	FF	00	00	64
15	4.352	0	043F	8	00	40	60	FF	50	6C	0B	00
16	4.565	0	0440	8	FF	50	00	00	FF	60	0B	00
17	4.821	0	04F0	8	00	00	8C	00	00	83	4F	0E
18	5.077	0	0545	8	D8	14	00	8B	7F	00	81	00
19	5.333	0	059B	8	00	00	00	00	00	00	00	88
20	5.589	0	04B1	8	59	9E	EA	01	00	00	00	E2
21	5.845	0	0164	8	00	08	00	00	00	00	07	0F
22	6.059	0	0350	8	05	68	95	44	46	20	00	DA
23	10.112	0	0153	8	00	80	10	FF	00	FF	E0	6E
24	10.368	0	01F1	8	00	99	00	00	00	00	00	00
25	10.624	0	0220	8	EA	3B	04	24	0C	30	FF	0F
26	11.008	0	02B0	5	E5	FF	00	07	95	-1	-1	-1
27	11.264	0	0165	8	0D	E8	7F	00	00	00	05	9F
28	12.117	0	0110	8	D0	3C	40	09	00	00	00	00
29	12.331	0	02A0	8	A2	00	45	90	B2	2B	60	0B
30	13.099	0	0260	8	05	32	00	30	2E	9B	67	11
31	13.355	0	0080	8	00	17	BE	0B	32	20	32	BD
32	13.568	0	0081	8	40	84	45	00	00	00	00	AD
33	13.824	0	018F	8	00	16	32	00	00	4D	00	00
34	14.080	0	0316	8	05	32	BE	0B	32	20	00	7F
35	14.293	0	0329	8	85	A2	81	8C	11	2D	00	10
36	14.549	0	0370	8	FF	20	00	80	FF	00	00	28
37	14.805	0	0382	8	40	FE	0F	00	00	00	00	0C
