No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0153	8	00	80	10	FF	00	FF	D0	5E
2	0.256	0	01F1	8	00	99	00	00	00	00	00	00
3	1.024	0	0220	8	E7	1B	05	0C	09	00	FF	0F
4	2.005	0	05A0	8	00	00	00	00	00	00	00	00
5	2.218	0	0165	8	22	C8	7F	00	00	00	09	9C
6	2.432	0	02B0	5	E5	FF	00	07	59	-1	-1	-1
7	2.986	0	0080	8	00	17	B2	0B	31	1E	31	81
8	3.242	0	0081	8	40	84	45	00	00	00	00	61
9	3.456	0	018F	8	00	16	31	00	00	4D	00	00
10	3.712	0	0260	8	05	31	00	30	2E	9B	73	15
11	3.968	0	02A0	8	A2	00	45	90	B2	2B	60	0B
12	4.224	0	0316	8	05	31	B2	0B	31	1E	00	7F
13	4.437	0	0329	8	40	A1	81	8C	11	2D	00	10
14	4.693	0	0370	8	FF	20	00	80	FF	00	00	28
15	4.992	0	0382	8	40	FE	0F	00	00	00	00	04
16	5.205	0	043F	8	00	40	60	FF	51	48	0B	00
17	5.461	0	0440	8	FF	A0	00	00	FF	4C	0B	00
18	5.717	0	04B0	8	00	40	00	40	00	40	00	80
19	5.973	0	0164	8	00	08	00	00	00	00	0C	04
20	6.229	0	04F2	8	20	00	B0	38	00	00	00	89
21	6.442	0	0545	8	D8	1D	00	8C	A4	00	A3	00
22	6.613	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
23	7.978	0	02C0	8	3D	00	00	00	00	00	00	00
24	9.898	0	05A2	4	25	00	A5	02	-1	-1	-1	-1
25	10.154	0	0153	8	00	80	10	FF	00	FF	E0	6E
26	10.410	0	0220	8	E7	23	06	0C	09	00	FF	0F
27	11.264	0	04F2	8	20	00	00	38	00	00	00	D2
28	11.520	0	04F0	8	00	00	5E	00	00	6F	5D	00
29	11.946	0	02B0	5	E6	FF	00	07	5A	-1	-1	-1
30	12.160	0	0165	8	22	C8	7F	00	00	00	0A	9F
31	12.416	0	0316	8	05	31	B2	0B	31	1E	00	7F
32	12.970	0	0080	8	00	17	B2	0B	31	1E	31	72
33	13.226	0	0081	8	40	84	45	00	00	00	00	52
34	13.397	0	0120	4	00	00	00	00	-1	-1	-1	-1
35	13.653	0	018F	8	00	16	31	00	00	4D	00	00
36	13.952	0	0260	8	05	31	00	30	2E	9B	73	24
37	14.208	0	02A0	8	C2	00	45	90	B2	2B	60	0B
38	14.421	0	0329	8	40	A1	81	8C	11	2D	00	10
39	14.677	0	0370	8	FF	20	00	80	FF	00	00	EC
40	14.976	0	043F	8	00	40	60	FF	51	48	0B	00
41	15.232	0	0440	8	FF	F0	00	00	FF	4C	0B	00
42	15.488	0	04F0	8	00	00	12	00	00	83	4F	0E
43	15.701	0	04B1	8	59	9E	EA	01	00	00	00	E2
44	15.957	0	0164	8	00	08	00	00	00	00	0D	05
45	16.213	0	0517	8	00	00	00	00	00	00	00	00
46	16.469	0	0545	8	D8	1D	00	8B	A4	00	A3	00
47	17.024	0	0350	8	05	68	C5	44	46	20	00	8A
48	20.010	0	0153	8	00	80	10	FF	00	FF	00	8E
49	20.266	0	01F1	8	00	99	00	00	00	00	00	00
50	21.973	0	0220	8	E6	2B	05	1C	0C	00	FF	0F
51	22.229	0	0316	8	05	31	C0	0B	31	1E	00	7F
52	22.485	0	0165	8	22	D8	7F	00	00	00	0B	8E
53	22.698	0	018F	8	00	16	31	00	00	4D	00	00
54	22.997	0	0080	8	00	17	C0	0B	31	1E	31	73
55	23.210	0	0081	8	40	84	45	00	00	00	00	43
56	23.466	0	0260	8	05	31	00	30	2E	9B	71	35
57	23.679	0	02A0	8	62	00	45	90	B2	2B	60	0B
