No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0350	8	05	68	75	44	46	20	00	3A
2	3.840	0	0153	8	00	80	10	FF	00	FF	A0	2E
3	4.096	0	01F1	8	00	99	00	00	00	00	00	00
4	4.821	0	0220	8	E8	1B	05	04	0C	10	04	10
5	5.760	0	02B0	5	E6	FF	00	07	E1	-1	-1	-1
6	6.016	0	0165	8	0D	F8	7F	00	00	00	01	8B
7	6.272	0	0316	8	05	2B	40	0C	2B	1E	00	7F
8	6.827	0	02A0	8	A2	00	45	90	B2	2B	60	0B
9	7.083	0	0080	8	00	17	40	0C	2B	1E	2B	69
10	7.296	0	0081	8	40	84	45	00	00	00	00	E9
11	7.552	0	018F	8	00	16	2B	00	00	4D	00	00
12	7.808	0	0260	8	05	2B	00	30	2E	9C	5B	15
13	8.064	0	0329	8	40	A1	81	8C	11	2D	00	10
14	8.320	0	0370	8	FF	20	00	80	FF	00	00	28
15	8.576	0	0382	8	40	FE	0F	00	00	00	00	04
16	8.789	0	043F	8	00	40	60	FF	51	98	0B	00
17	9.045	0	0440	8	FF	A0	00	00	FF	A0	0B	00
18	9.301	0	04F2	8	20	00	A0	38	00	00	00	B5
19	9.557	0	04B0	8	00	40	00	00	00	40	00	80
20	9.813	0	0164	8	00	08	00	00	00	00	04	0C
21	10.069	0	0510	8	00	00	00	00	00	00	00	00
22	10.283	0	0545	8	D8	14	00	8B	6F	00	6F	00
23	11.819	0	00A0	8	5E	70	3E	0C	00	23	00	02
24	12.075	0	00A1	8	80	81	80	80	2E	00	00	00
25	13.824	0	0153	8	00	80	10	FF	00	FF	B0	3E
26	14.080	0	04F2	8	20	00	F0	38	00	00	00	FE
27	14.293	0	0220	8	E8	23	03	04	0C	10	04	10
28	14.549	0	04F0	8	00	00	B6	00	00	6F	5D	00
29	15.744	0	02B0	5	E5	FF	00	07	E2	-1	-1	-1
30	16.000	0	0165	8	0D	F8	7F	00	00	00	02	88
31	16.213	0	02A0	8	C2	00	45	90	B2	2B	60	0B
32	16.810	0	0260	8	05	2B	00	30	2E	9C	5B	24
33	17.066	0	0080	8	00	17	40	0C	2B	1E	2B	5A
34	17.280	0	0081	8	40	84	45	00	00	00	00	DA
35	17.536	0	018F	8	00	16	2B	00	00	4D	00	00
36	18.816	0	0316	8	05	2B	40	0C	2B	1E	00	7F
37	19.029	0	0329	8	40	A1	81	8C	11	2D	00	10
38	19.285	0	0370	8	FF	20	00	80	FF	00	00	EC
39	19.541	0	043F	8	00	40	60	FF	51	9C	0B	00
40	19.797	0	0440	8	FF	F0	00	00	FF	A0	0B	00
41	20.010	0	04F0	8	00	00	6A	00	00	83	4F	0E
42	20.266	0	0545	8	D8	1D	00	8B	6F	00	6F	00
43	20.480	0	04B1	8	59	9E	EA	01	00	00	00	E2
44	20.736	0	0164	8	00	08	00	00	00	00	05	0D
45	20.992	0	0350	8	05	68	85	44	46	20	00	CA
46	23.808	0	0153	8	00	80	10	FF	00	FF	C0	4E
47	24.064	0	01F1	8	00	99	00	00	00	00	00	00
48	24.832	0	0220	8	E9	2B	09	14	0C	00	FF	0F
49	25.685	0	02B0	5	E5	FF	00	07	F3	-1	-1	-1
50	25.941	0	0165	8	0D	F8	7F	00	00	00	03	89
51	26.197	0	02A0	8	62	00	45	90	B2	2B	60	0B
52	26.794	0	0080	8	00	17	40	0C	2B	1E	2B	4B
53	27.050	0	0081	8	40	84	45	00	00	00	00	CB
54	27.306	0	018F	8	00	16	2B	00	00	4D	00	00
55	27.520	0	0260	8	05	2B	00	30	2E	9C	5B	33
56	27.776	0	0316	8	05	2B	40	0C	2B	1E	00	7F
57	27.989	0	0329	8	40	A1	81	8C	11	2D	00	10
58	28.245	0	0370	8	FF	20	00	80	FF	00	00	A0
59	28.501	0	0382	8	40	FE	0F	00	00	00	00	08
60	28.757	0	043F	8	00	40	60	FF	51	94	0B	00
61	28.970	0	0440	8	FF	00	00	00	FF	90	0B	00
62	29.226	0	04F2	8	20	00	A0	38	00	00	00	B6
63	29.482	0	04B0	8	00	80	00	00	00	40	00	80
64	29.738	0	0164	8	00	08	00	00	00	00	06	0E
65	29.952	0	0545	8	D8	1D	00	8B	6E	00	6E	00
66	33.792	0	0153	8	00	80	10	FF	00	FF	D0	5E
67	34.048	0	04F2	8	20	00	F0	38	00	00	00	FF
68	34.261	0	0220	8	E8	33	09	24	0C	30	FF	0F
69	34.517	0	04F0	8	00	00	B8	00	00	6F	5D	00
70	35.754	0	02B0	5	E5	FF	00	07	84	-1	-1	-1
71	35.968	0	0165	8	0D	F8	7F	00	00	00	04	8E
72	36.224	0	0316	8	05	2C	2C	0C	2C	1E	00	7F
73	36.480	0	018F	8	00	16	2C	00	00	4D	00	00
74	36.864	0	0080	8	00	17	2C	0C	2C	1E	2C	7C
75	37.120	0	0081	8	40	84	45	00	00	00	00	BC
76	37.333	0	0260	8	05	2C	00	30	2E	9C	5D	03
77	37.589	0	02A0	8	02	00	45	90	B2	2B	60	0B
78	37.802	0	0329	8	85	A1	81	8C	11	2D	00	10
79	38.058	0	0370	8	FF	20	00	80	FF	00	00	64
80	38.314	0	043F	8	00	40	60	FF	51	90	0B	00
81	38.570	0	0440	8	FF	50	00	00	FF	8C	0B	00
82	38.826	0	04F0	8	00	00	6C	00	00	83	4F	0E
83	39.082	0	0545	8	D8	1D	00	8B	74	00	78	00
84	39.295	0	04B1	8	59	9E	EA	01	00	00	00	E2
85	39.551	0	0164	8	00	08	00	00	00	00	07	0F
86	39.807	0	059B	8	00	00	00	00	00	00	00	88
87	40.063	0	0350	8	05	68	95	44	46	20	00	DA
88	43.818	0	0153	8	00	80	10	FF	00	FF	E0	6E
89	44.074	0	01F1	8	00	99	00	00	00	00	00	00
90	44.799	0	0220	8	E7	3B	07	34	0C	00	FF	0F
91	45.738	0	02B0	5	E5	FF	00	07	95	-1	-1	-1
92	45.994	0	0165	8	0D	F8	7F	00	00	00	05	8F
93	46.250	0	0316	8	05	2C	28	0C	2C	1E	00	7F
94	46.805	0	0329	8	85	A1	81	8C	11	2D	00	10
95	47.061	0	0080	8	00	17	28	0C	2C	1E	2C	AD
96	47.317	0	0081	8	40	84	45	00	00	00	00	AD
97	47.573	0	0110	8	D0	3C	40	09	00	00	00	00
98	47.786	0	018F	8	00	16	2C	00	00	4D	00	00
99	48.042	0	0260	8	05	2C	00	30	2E	9C	5D	12
100	48.255	0	02A0	8	A2	00	45	90	B2	2B	60	0B
