No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	043F	8	00	40	60	FF	51	64	0B	00
2	0.214	0	0440	8	FF	F0	00	00	FF	68	0B	00
3	0.470	0	04F0	8	00	00	FE	00	00	83	4F	0E
4	0.726	0	04B1	8	59	9E	EA	01	00	00	00	E2
5	0.982	0	0164	8	00	08	00	00	00	00	09	01
6	2.091	0	0517	8	00	00	00	00	00	00	00	00
7	2.347	0	0545	8	D8	1D	00	8B	7F	00	7F	00
8	2.560	0	0350	8	05	68	25	44	47	20	00	6B
9	5.078	0	0153	8	00	80	10	FF	00	FF	A0	2E
10	5.334	0	01F1	8	00	99	00	00	00	00	00	00
11	6.102	0	0220	8	E6	0B	0C	3C	0C	10	01	10
12	7.126	0	02B0	5	E5	FF	00	07	B7	-1	-1	-1
13	7.382	0	0165	8	24	88	7F	00	00	00	07	D4
14	7.638	0	0370	8	FF	20	00	80	FF	00	00	A0
15	8.107	0	043F	8	00	40	60	FF	51	64	0B	00
16	8.320	0	0316	8	05	2B	1E	0C	2D	1E	00	7F
17	8.576	0	0329	8	85	A1	81	8C	11	2D	00	10
18	8.790	0	0080	8	00	17	1E	0C	2B	1E	2D	3F
19	9.131	0	0081	8	40	84	45	00	00	00	00	8F
20	9.344	0	018F	8	00	16	2D	00	00	4D	00	00
21	9.600	0	0260	8	05	2D	00	30	2E	9C	5D	3F
22	9.814	0	02A0	8	62	00	45	90	B2	2B	60	0B
23	10.112	0	0382	8	40	FE	0F	00	00	00	00	00
24	10.368	0	0440	8	FF	00	00	00	FF	68	0B	00
25	10.624	0	04F2	8	20	00	90	38	00	00	00	80
26	10.838	0	04B0	8	00	00	00	C0	00	40	00	80
27	11.094	0	0164	8	00	08	00	00	00	00	0A	02
28	11.349	0	0510	8	00	00	00	00	00	00	00	00
29	11.605	0	0545	8	D8	1D	00	89	71	00	7E	00
30	11.819	0	00A0	8	5D	70	06	0C	00	23	00	02
31	12.117	0	00A1	8	80	81	80	80	2E	00	00	00
32	15.189	0	0153	8	00	80	10	FF	00	FF	B0	3E
33	15.445	0	04F2	8	20	00	E0	38	00	00	00	C9
34	15.659	0	0220	8	E7	13	0A	2C	0C	10	04	10
35	15.915	0	04F0	8	00	00	4C	00	00	6F	5D	00
36	17.109	0	0316	8	05	2B	38	0C	2C	1E	00	7F
37	17.365	0	0165	8	25	98	7F	00	00	00	08	CA
38	17.579	0	0080	8	00	17	38	0C	2B	1E	2C	70
39	19.072	0	0081	8	40	84	45	00	00	00	00	70
40	19.328	0	018F	8	00	16	2C	00	00	4D	00	00
41	19.541	0	0260	8	05	2C	00	30	2E	9C	5D	03
42	19.797	0	02A0	8	02	00	45	90	B2	2B	60	0B
43	19.968	0	02B0	5	E6	FF	00	07	78	-1	-1	-1
44	20.224	0	0329	8	85	A1	81	8C	11	2D	00	10
45	20.480	0	0370	8	FF	20	00	80	FF	00	00	64
46	20.693	0	043F	8	00	40	60	FF	51	6C	0B	00
47	20.949	0	0440	8	FF	50	00	00	FF	74	0B	00
48	21.205	0	04F0	8	00	00	00	00	00	83	4F	0E
49	21.419	0	0545	8	D8	13	00	89	71	00	77	00
50	21.675	0	04B1	8	59	9E	EA	01	00	00	00	E2
51	21.931	0	0164	8	00	08	00	00	00	00	0B	03
52	22.144	0	0350	8	05	68	35	44	47	20	00	7B
53	25.131	0	0153	8	00	80	10	FF	00	FF	C0	4E
54	25.387	0	01F1	8	00	99	00	00	00	00	00	00
55	26.112	0	0220	8	E9	1B	05	2C	09	10	06	10
56	27.051	0	02B0	5	E5	FF	00	07	59	-1	-1	-1
57	27.264	0	0165	8	23	B8	7F	00	00	00	09	ED
58	27.520	0	0316	8	05	2B	4A	0C	2C	1E	00	7F
59	28.117	0	018F	8	00	16	2C	00	00	4D	00	00
60	28.331	0	0080	8	00	17	4A	0C	2B	1E	2C	31
61	28.587	0	0081	8	40	84	45	00	00	00	00	61
62	28.843	0	0260	8	05	2C	00	30	2E	9C	5D	12
63	29.141	0	02A0	8	A2	00	45	90	B2	2B	60	0B
64	29.355	0	0329	8	85	A1	81	8C	11	2D	00	10
65	29.611	0	0370	8	FF	20	00	80	FF	00	00	28
66	29.867	0	0382	8	40	FE	0F	00	00	00	00	04
67	30.165	0	043F	8	00	40	60	FF	51	74	0B	00
68	30.379	0	0440	8	FF	A0	00	00	FF	80	0B	00
69	30.635	0	04F2	8	20	00	90	38	00	00	00	81
70	30.891	0	04B0	8	00	40	00	C0	00	40	00	80
71	31.147	0	0164	8	00	08	00	00	00	00	0C	04
72	31.360	0	0545	8	D8	13	00	89	71	00	77	00
73	35.200	0	04F2	8	20	00	E0	38	00	00	00	CA
74	35.498	0	04F0	8	00	00	4E	00	00	6F	5D	00
75	36.138	0	0153	8	00	80	10	FF	00	FF	D0	5E
76	36.352	0	0220	8	E9	23	05	2C	0C	10	09	10
77	37.120	0	02B0	5	E6	FF	00	07	5A	-1	-1	-1
78	37.376	0	0165	8	1F	D8	7F	00	00	00	0A	B2
79	37.632	0	0316	8	05	2B	4A	0C	2C	1E	00	7F
80	38.144	0	018F	8	00	16	2C	00	00	4D	00	00
81	38.400	0	0080	8	00	17	4A	0C	2B	1E	2C	22
82	38.613	0	0081	8	40	84	45	00	00	00	00	52
83	38.869	0	0260	8	05	2C	00	30	2E	9C	5D	21
84	39.168	0	02A0	8	C2	00	45	90	B2	2B	60	0B
85	39.381	0	0329	8	D7	A1	81	8C	11	2D	00	10
86	39.637	0	0370	8	FF	20	00	80	FF	00	00	EC
87	39.893	0	043F	8	00	40	60	FF	51	80	0B	00
88	40.192	0	0440	8	FF	F0	00	00	FF	8C	0B	00
89	40.405	0	04F0	8	00	00	02	00	00	83	4F	0E
90	40.661	0	0545	8	D8	13	00	8A	71	00	77	00
91	40.917	0	04B1	8	59	9E	EA	01	00	00	00	E2
92	41.130	0	0164	8	00	08	00	00	00	00	0D	05
93	41.386	0	059B	8	00	00	00	00	00	00	00	C4
94	41.642	0	0350	8	05	68	45	44	46	20	00	0A
95	45.141	0	0153	8	00	80	10	FF	00	FF	E0	6E
96	45.397	0	01F1	8	00	99	00	00	00	00	00	00
97	46.165	0	0220	8	E9	2B	07	2C	09	10	04	10
98	47.104	0	02B0	5	E6	FF	00	07	4B	-1	-1	-1
99	47.360	0	0165	8	1B	F8	7F	00	00	00	0B	97
100	47.616	0	0316	8	05	2A	4C	0C	2A	1E	00	7F
