No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0690	8	03	00	00	20	80	00	28	00
2	0.213	0	0350	8	05	68	55	44	46	20	00	1A
3	3.285	0	0153	8	00	80	10	FF	00	FF	B0	3E
4	3.541	0	01F1	8	00	99	00	00	00	00	00	00
5	4.266	0	0220	8	E6	3B	06	1C	0C	00	FF	0F
6	5.205	0	02B0	5	E5	FF	00	07	1D	-1	-1	-1
7	5.418	0	0165	8	0E	F8	7F	00	00	00	0D	84
8	5.674	0	0316	8	05	2C	32	0C	2C	1E	00	7F
9	7.338	0	0080	8	00	17	32	0C	2C	1E	2C	75
10	7.594	0	0018	8	00	00	00	60	00	00	20	00
11	7.850	0	0081	8	40	84	45	00	00	00	00	25
12	8.106	0	018F	8	00	16	2C	00	00	4E	00	00
13	8.320	0	0260	8	05	2C	00	30	2E	9C	5B	14
14	8.576	0	02A0	8	A2	00	45	90	B2	2B	60	0B
15	8.789	0	0329	8	85	A1	81	8C	11	2D	00	10
16	9.045	0	0370	8	FF	20	00	80	FF	00	00	28
17	9.301	0	0382	8	40	FE	0F	00	00	00	00	0C
18	9.557	0	043F	8	00	40	60	FF	51	D8	0B	00
19	9.813	0	0440	8	FF	A0	00	00	FF	DC	0B	00
20	10.026	0	04B0	8	00	C0	00	C0	00	40	00	80
21	10.282	0	0164	8	00	08	00	00	00	00	00	08
22	10.538	0	04F2	8	20	00	A0	38	00	00	00	D3
23	10.794	0	0545	8	D8	1D	00	8B	76	00	77	00
24	13.184	0	04F2	8	20	00	F0	38	00	00	00	9C
25	13.439	0	0153	8	00	80	10	FF	00	FF	C0	4E
26	13.653	0	04F0	8	00	00	F2	00	00	6F	5D	00
27	13.909	0	0220	8	E8	03	08	34	0C	30	FF	0F
28	14.122	0	04F1	8	00	12	03	00	00	00	00	00
29	14.421	0	0690	8	03	00	00	20	80	00	18	00
30	16.255	0	02B0	5	E5	FF	00	07	2E	-1	-1	-1
31	16.511	0	0165	8	0E	F8	7F	00	00	00	0E	87
32	16.767	0	02A0	8	C2	00	45	90	B2	2B	60	0B
33	16.981	0	0080	8	00	17	F4	0B	2E	1E	2E	56
34	17.237	0	0081	8	40	84	45	00	00	00	00	16
35	17.493	0	018F	8	00	16	2E	00	00	4E	00	00
36	17.706	0	0260	8	05	2E	00	30	2E	9C	61	2A
37	17.962	0	0316	8	05	2E	F4	0B	2E	1E	00	7F
38	18.175	0	0329	8	85	A1	81	8C	11	2D	00	10
39	18.431	0	0370	8	FF	20	00	80	FF	00	00	EC
40	18.687	0	043F	8	00	40	60	FF	51	C4	0B	00
41	18.943	0	0440	8	FF	F0	00	00	FF	B4	0B	00
42	19.157	0	04F0	8	00	00	A6	00	00	83	4F	0E
43	19.413	0	04B1	8	59	9E	EA	01	00	00	00	E2
44	19.669	0	0164	8	00	08	00	00	00	00	01	09
45	19.882	0	0545	8	D8	1D	00	8A	8A	00	88	00
46	20.138	0	0350	8	05	68	65	44	46	20	00	2A
47	23.253	0	0153	8	00	80	10	FF	00	FF	D0	5E
48	23.509	0	01F1	8	00	99	00	00	00	00	00	00
49	23.765	0	0220	8	E9	0B	06	14	0C	00	FF	0F
50	25.173	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
51	25.429	0	0165	8	0E	F8	7F	00	00	00	0F	86
52	25.685	0	0260	8	05	2E	00	30	2E	9C	61	39
53	26.239	0	02A0	8	62	00	45	90	B2	2B	60	0B
54	26.495	0	0080	8	00	17	F4	0B	2E	1E	2E	47
55	26.751	0	0081	8	40	84	45	00	00	00	00	07
56	27.007	0	018F	8	00	16	2E	00	00	4E	00	00
57	27.178	0	02B0	5	E5	FF	00	07	3F	-1	-1	-1
58	27.434	0	0316	8	05	2E	F4	0B	2E	1E	00	7F
59	27.647	0	0329	8	85	A1	81	8C	11	2D	00	10
60	27.903	0	0370	8	FF	20	00	80	FF	00	00	A0
61	28.245	0	0382	8	40	FE	0F	00	00	00	00	00
62	28.501	0	043F	8	00	40	60	FF	51	C0	0B	00
63	28.757	0	0440	8	FF	00	00	00	FF	BC	0B	00
64	28.970	0	04B0	8	00	00	00	00	00	40	00	80
65	29.226	0	0164	8	00	08	00	00	00	00	02	0A
66	29.482	0	04F2	8	20	00	A0	38	00	00	00	D4
67	29.738	0	0545	8	D8	1D	00	8A	8A	00	88	00
68	30.250	0	02C0	8	3D	00	00	00	00	00	00	00
69	33.279	0	0153	8	00	80	10	FF	00	FF	E0	6E
70	33.535	0	0220	8	E9	13	02	24	0C	30	FF	0F
71	34.602	0	04F2	8	20	00	F0	38	00	00	00	9D
72	34.858	0	04F0	8	00	00	F4	00	00	6F	5D	00
73	35.242	0	0316	8	05	2E	EE	0B	2E	1E	00	7F
74	35.498	0	0165	8	0E	F8	7F	00	00	00	00	89
75	35.711	0	018F	8	00	16	2E	00	00	4E	00	00
76	36.266	0	0080	8	00	17	EE	0B	2E	1E	2E	A8
77	36.522	0	0081	8	40	84	45	00	00	00	00	F8
78	36.735	0	0260	8	05	2E	00	30	2E	9C	61	0C
79	36.991	0	02A0	8	02	00	45	90	B2	2B	60	0B
80	37.162	0	02B0	5	E5	FF	00	07	C0	-1	-1	-1
81	38.228	0	0329	8	85	A1	81	8C	11	2D	00	10
82	38.442	0	0370	8	FF	20	00	80	FF	00	00	64
83	38.698	0	043F	8	00	40	60	FF	51	B8	0B	00
84	38.954	0	0440	8	FF	50	00	00	FF	B4	0B	00
85	39.210	0	04F0	8	00	00	A8	00	00	83	4F	0E
86	39.423	0	0545	8	D8	1D	00	8B	8A	00	88	00
87	39.679	0	04B1	8	59	9E	EA	01	00	00	00	E2
88	39.935	0	0164	8	00	08	00	00	00	00	03	0B
89	40.148	0	0350	8	05	68	75	44	46	20	00	3A
90	43.135	0	0153	8	00	80	10	FF	00	FF	00	8E
91	43.391	0	01F1	8	00	99	00	00	00	00	00	00
92	44.159	0	0220	8	E9	1B	03	14	09	00	FF	0F
93	45.140	0	02B0	5	E6	FF	00	07	E1	-1	-1	-1
94	45.396	0	0165	8	0E	F8	7F	00	00	00	01	88
95	45.610	0	0316	8	05	2E	EE	0B	2E	1E	00	7F
96	46.164	0	0080	8	00	17	EE	0B	2E	1E	2E	99
97	46.420	0	0081	8	40	84	45	00	00	00	00	E9
98	46.676	0	018F	8	00	16	2E	00	00	4E	00	00
99	46.890	0	0260	8	05	2E	00	30	2E	9C	61	1B
100	47.188	0	02A0	8	A2	00	45	90	B2	2B	60	0B
