No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	02B0	5	E5	FF	00	07	B7	-1	-1	-1
2	0.256	0	0165	8	0C	08	80	00	00	00	07	83
3	0.982	0	0260	8	05	2D	00	30	2E	9B	5F	3E
4	1.238	0	02A0	8	62	00	45	90	B2	2B	60	0B
5	1.451	0	0080	8	00	17	00	0C	2E	1E	2D	FF
6	1.707	0	0081	8	40	84	45	00	00	00	00	8F
7	1.963	0	018F	8	00	16	2D	00	00	4D	00	00
8	2.219	0	0316	8	05	2E	00	0C	2D	1E	00	7F
9	2.475	0	0329	8	40	A2	81	8C	11	2D	00	10
10	2.688	0	0370	8	FF	20	00	80	FF	00	00	A0
11	3.030	0	0382	8	40	FE	0F	00	00	00	00	00
12	3.243	0	043F	8	00	40	60	FF	50	48	0B	00
13	3.499	0	0440	8	FF	00	00	00	FF	44	0B	00
14	3.755	0	04F2	8	20	00	90	38	00	00	00	E0
15	4.054	0	04B0	8	00	00	00	C0	00	40	00	80
16	4.267	0	0164	8	00	08	00	00	00	00	0A	02
17	4.523	0	0510	8	00	00	00	00	00	00	00	00
18	4.779	0	0545	8	D8	1D	00	8B	86	00	86	00
19	5.035	0	00A0	8	5E	70	DC	0B	00	23	00	02
20	5.248	0	00A1	8	80	81	80	80	2E	00	00	00
21	8.021	0	0153	8	00	80	10	FF	00	FF	60	EE
22	8.747	0	04F2	8	20	00	E0	38	00	00	00	A9
23	9.045	0	04F0	8	00	00	0C	00	00	6F	5D	00
24	9.259	0	0220	8	E7	13	09	0C	0C	00	FF	0F
25	9.941	0	02B0	5	E5	FF	00	07	48	-1	-1	-1
26	10.197	0	0165	8	0D	E8	7F	00	00	00	08	92
27	11.051	0	043F	8	00	40	60	FF	50	48	0B	00
28	11.264	0	0316	8	05	2D	EE	0B	2D	1E	00	7F
29	11.520	0	0329	8	40	A2	81	8C	11	2E	00	10
30	11.989	0	0080	8	00	17	EE	0B	2D	1E	2D	40
31	12.245	0	0081	8	40	84	45	00	00	00	00	70
32	12.459	0	018F	8	00	16	2D	00	00	4D	00	00
33	12.715	0	0260	8	05	2D	00	30	2E	9B	5F	01
34	13.013	0	02A0	8	02	00	45	90	B2	2B	60	0B
35	13.227	0	0370	8	FF	20	00	80	FF	00	00	64
36	13.483	0	0440	8	FF	50	00	00	FF	4C	0B	00
37	13.739	0	04F0	8	00	00	C0	00	00	83	4F	0E
38	14.037	0	0545	8	D8	14	00	8B	85	00	84	00
39	14.251	0	04B1	8	59	9E	EA	01	00	00	00	E2
40	14.507	0	0164	8	00	08	00	00	00	00	0B	03
41	14.933	0	0350	8	05	68	35	44	46	20	00	7A
42	19.029	0	0153	8	00	80	10	FF	00	FF	70	FE
43	19.285	0	01F1	8	00	99	00	00	00	00	00	00
44	19.541	0	0220	8	E6	1B	0B	0C	0C	00	FF	0F
45	19.968	0	02B0	5	E6	FF	00	07	69	-1	-1	-1
46	20.992	0	0165	8	0D	F8	7F	00	00	00	09	83
47	21.248	0	043F	8	00	40	60	FF	50	58	0B	00
48	21.461	0	0316	8	05	2D	EE	0B	2D	1E	00	7F
49	21.717	0	018F	8	00	16	2D	00	00	4D	00	00
50	21.973	0	0080	8	00	17	EE	0B	2D	1E	2D	31
51	22.229	0	0081	8	40	84	45	00	00	00	00	61
52	22.485	0	0260	8	05	2D	00	30	2E	9B	5F	10
53	22.699	0	02A0	8	A2	00	45	90	B2	2B	60	0B
54	22.997	0	0329	8	40	A2	81	8C	11	2D	00	10
55	23.211	0	0370	8	FF	20	00	80	FF	00	00	28
56	23.467	0	0382	8	40	FE	0F	00	00	00	00	04
57	23.723	0	0440	8	FF	A0	00	00	FF	6C	0B	00
58	23.979	0	04F2	8	20	00	90	38	00	00	00	E1
59	24.235	0	04B0	8	00	40	00	C0	00	40	00	80
60	24.491	0	0164	8	00	08	00	00	00	00	0C	04
61	24.747	0	0545	8	D8	14	00	89	86	00	85	00
62	28.629	0	04F2	8	20	00	E0	38	00	00	00	AA
63	28.885	0	04F0	8	00	00	0E	00	00	6F	5D	00
64	29.141	0	0153	8	00	80	10	FF	00	FF	80	0E
65	29.397	0	0220	8	E7	23	05	0C	0C	00	FF	0F
66	29.866	0	02B0	5	E5	FF	00	07	6A	-1	-1	-1
67	30.080	0	0165	8	0D	F8	7F	00	00	00	0A	80
68	30.933	0	0316	8	05	2D	EE	0B	2D	1E	00	7F
69	31.189	0	0260	8	05	2D	00	30	2E	9B	5F	2F
70	31.402	0	018F	8	00	16	2D	00	00	4D	00	00
71	31.658	0	0080	8	00	17	EE	0B	2D	1E	2D	22
72	31.914	0	0081	8	40	84	45	00	00	00	00	52
73	32.128	0	02A0	8	C2	00	45	90	B2	2B	60	0B
74	32.384	0	0329	8	40	A2	81	8C	11	2D	00	10
75	32.981	0	0370	8	FF	20	00	80	FF	00	00	EC
76	33.237	0	043F	8	00	40	60	FF	50	5C	0B	00
77	33.493	0	0440	8	FF	F0	00	00	FF	60	0B	00
78	33.706	0	04F0	8	00	00	C2	00	00	83	4F	0E
79	33.962	0	0545	8	D8	14	00	8B	86	00	85	00
80	34.218	0	04B1	8	59	9E	EA	01	00	00	00	E2
81	34.474	0	0164	8	00	08	00	00	00	00	0D	05
82	34.688	0	059B	8	00	00	00	00	00	00	00	C4
83	34.944	0	0350	8	05	68	45	44	46	20	00	0A
84	38.954	0	0153	8	00	80	10	FF	00	FF	90	1E
85	39.210	0	01F1	8	00	99	00	00	00	00	00	00
86	39.466	0	0220	8	E9	2B	FF	2B	09	10	FF	0F
87	39.893	0	02B0	5	E5	FF	00	07	7B	-1	-1	-1
88	40.192	0	0165	8	0D	F8	7F	00	00	00	0B	81
89	40.960	0	02A0	8	62	00	45	90	B2	2B	60	0B
90	41.216	0	0260	8	05	2D	00	30	2E	9B	5F	3E
91	41.429	0	0080	8	00	17	EE	0B	2D	1E	2D	13
92	41.685	0	0081	8	40	84	45	00	00	00	00	43
93	41.941	0	0110	8	D0	3C	40	09	00	00	00	00
94	42.197	0	018F	8	00	16	2D	00	00	4D	00	00
95	42.453	0	0316	8	05	2D	EE	0B	2D	1E	00	7F
96	42.666	0	0329	8	40	A2	81	8C	11	2D	00	10
97	42.965	0	0370	8	FF	20	00	80	FF	00	00	A0
98	43.178	0	0382	8	40	FE	0F	00	00	00	00	08
99	43.434	0	043F	8	00	40	60	FF	51	58	0B	00
100	43.690	0	0440	8	FF	00	00	00	FF	58	0B	00
