No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	02A0	8	A2	00	45	90	B2	2B	60	0B
2	0.256	0	0370	8	FF	20	00	80	FF	00	00	28
3	0.512	0	0382	8	40	FE	0F	00	00	00	00	0C
4	0.725	0	043F	8	00	40	60	FF	51	5C	0B	00
5	0.981	0	0440	8	FF	A0	00	00	FF	70	0B	00
6	1.237	0	04F2	8	20	00	80	38	00	00	00	AB
7	1.493	0	04B0	8	00	C0	00	40	00	40	00	80
8	1.749	0	0164	8	00	08	00	00	00	00	00	08
9	2.005	0	0510	8	00	00	00	00	00	00	00	00
10	2.218	0	0545	8	D8	1E	00	8B	85	00	84	00
11	4.309	0	00A0	8	5E	70	00	0C	00	23	00	02
12	5.290	0	00A1	8	81	81	80	80	2F	00	00	00
13	5.888	0	04F2	8	20	00	D0	38	00	00	00	F4
14	6.144	0	04F0	8	00	00	A2	00	00	6F	5D	00
15	6.400	0	0153	8	00	80	10	FF	00	FF	60	EE
16	6.613	0	0220	8	E9	03	05	14	0C	00	FF	0F
17	7.253	0	02B0	5	E5	FF	00	07	2E	-1	-1	-1
18	8.021	0	0165	8	0D	F8	7F	00	00	00	0E	84
19	8.234	0	0316	8	05	2D	20	0C	2D	1E	00	7F
20	8.490	0	0329	8	85	A1	81	8C	11	2D	00	10
21	8.704	0	0080	8	00	17	20	0C	2D	1E	2D	76
22	9.344	0	0081	8	40	84	45	00	00	00	00	16
23	9.557	0	018F	8	00	16	2D	00	00	4D	00	00
24	9.813	0	0260	8	05	2D	00	30	2E	9B	61	2C
25	10.026	0	02A0	8	C2	00	45	90	B2	2B	60	0B
26	10.282	0	0370	8	FF	20	00	80	FF	00	00	EC
27	10.538	0	043F	8	00	40	60	FF	51	68	0B	00
28	10.794	0	0440	8	FF	F0	00	00	FF	74	0B	00
29	11.008	0	04F0	8	00	00	56	00	00	83	4F	0E
30	11.264	0	0545	8	D8	1E	00	8B	85	00	84	00
31	11.520	0	04B1	8	59	9E	EA	01	00	00	00	E2
32	11.733	0	0164	8	00	08	00	00	00	00	01	09
33	12.288	0	0350	8	05	68	E5	44	46	20	00	AA
34	15.658	0	0153	8	00	80	10	FF	00	FF	70	FE
35	15.914	0	01F1	8	00	99	00	00	00	00	00	00
36	16.682	0	0220	8	E8	0B	04	34	0C	30	FF	0F
37	17.578	0	02B0	5	E6	FF	00	07	0F	-1	-1	-1
38	17.834	0	0165	8	0C	08	80	00	00	00	0F	8B
39	18.047	0	0316	8	05	2D	20	0C	2D	1E	00	7F
40	18.645	0	0080	8	00	17	20	0C	2D	1E	2D	67
41	18.901	0	0081	8	40	84	45	00	00	00	00	07
42	19.114	0	018F	8	00	16	2D	00	00	4D	00	00
43	19.370	0	0260	8	05	2D	00	30	2E	9B	61	3B
44	19.626	0	02A0	8	62	00	45	90	B2	2B	60	0B
45	19.882	0	0329	8	85	A1	81	8C	11	2D	00	10
46	20.095	0	0370	8	FF	20	00	80	FF	00	00	A0
47	20.351	0	0382	8	40	FE	0F	00	00	00	00	00
48	20.650	0	043F	8	00	40	60	FF	51	64	0B	00
49	20.863	0	0440	8	FF	00	00	00	FF	64	0B	00
50	21.119	0	04F2	8	20	00	80	38	00	00	00	AC
51	21.375	0	04B0	8	00	00	00	80	00	40	00	80
52	21.631	0	0164	8	00	08	00	00	00	00	02	0A
53	22.570	0	0545	8	D8	1E	00	8B	84	00	83	00
54	25.557	0	0153	8	00	80	10	FF	00	FF	80	0E
55	25.898	0	04F2	8	20	00	D0	38	00	00	00	F5
56	26.154	0	04F0	8	00	00	A4	00	00	6F	5D	00
57	26.538	0	0220	8	E7	13	07	34	0C	00	FF	0F
58	27.477	0	02B0	5	E6	FF	00	07	F0	-1	-1	-1
59	27.733	0	0165	8	0C	F8	7F	00	00	00	00	8B
60	28.543	0	043F	8	00	40	60	FF	51	64	0B	00
61	28.799	0	0370	8	FF	20	00	80	FF	00	00	64
62	29.055	0	0440	8	FF	50	00	00	FF	68	0B	00
63	29.269	0	0260	8	05	2D	00	30	2E	9B	5F	01
64	29.567	0	02A0	8	02	00	45	90	B2	2B	60	0B
65	29.781	0	0080	8	00	17	20	0C	2D	1E	2D	58
66	30.037	0	0081	8	40	84	45	00	00	00	00	F8
67	30.293	0	018F	8	00	16	2D	00	00	4D	00	00
68	30.506	0	0316	8	05	2D	20	0C	2D	1E	00	7F
69	30.762	0	0329	8	85	A1	81	8C	11	2D	00	10
70	30.975	0	04F0	8	00	00	58	00	00	83	4F	0E
71	31.231	0	0545	8	D8	1E	00	8B	7D	00	83	00
72	31.445	0	04B1	8	59	9E	EA	01	00	00	00	E2
73	31.701	0	0164	8	00	08	00	00	00	00	03	0B
74	31.957	0	059B	8	00	00	00	00	00	00	00	00
75	32.554	0	0350	8	05	68	F5	44	46	20	00	BA
76	35.541	0	0153	8	00	80	10	FF	00	FF	90	1E
77	36.522	0	01F1	8	00	99	00	00	00	00	00	00
78	36.778	0	0220	8	E9	1B	05	14	0C	00	FF	0F
79	37.503	0	02B0	5	E6	FF	00	07	E1	-1	-1	-1
80	37.717	0	0165	8	0D	F8	7F	00	00	00	01	8B
81	37.972	0	0316	8	05	2D	20	0C	2D	1E	00	7F
82	38.527	0	0329	8	85	A1	81	8C	11	2D	00	10
83	38.740	0	0080	8	00	17	20	0C	2D	1E	2D	49
84	38.996	0	0081	8	40	84	45	00	00	00	00	E9
85	39.252	0	0110	8	D0	3C	40	09	00	00	00	00
86	39.551	0	018F	8	00	16	2D	00	00	4D	00	00
87	39.764	0	0260	8	05	2D	00	30	2E	9C	5F	1F
88	40.020	0	02A0	8	A2	00	45	90	B2	2B	60	0B
89	40.276	0	0370	8	FF	20	00	80	FF	00	00	28
90	40.532	0	0382	8	40	FE	0F	00	00	00	00	04
91	40.788	0	043F	8	00	40	60	FF	51	68	0B	00
92	41.044	0	0440	8	FF	A0	00	00	FF	70	0B	00
93	41.300	0	04B0	8	00	40	00	80	00	40	00	80
94	41.556	0	0164	8	00	08	00	00	00	00	04	0C
95	41.812	0	04F2	8	20	00	90	38	00	00	00	AD
96	42.068	0	0545	8	D8	1E	00	8B	7E	00	80	00
97	42.282	0	0587	8	00	00	00	00	00	00	00	0B
98	45.738	0	0153	8	00	80	10	FF	00	FF	A0	2E
99	45.951	0	04F2	8	20	00	E0	38	00	00	00	F6
100	46.207	0	0220	8	EA	23	02	24	0C	30	FF	0F
