No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0153	8	00	80	10	FF	00	FF	80	0E
2	0.213	0	01F1	8	00	99	00	00	00	00	00	00
3	0.469	0	0220	8	E7	2B	0A	14	0C	20	05	10
4	0.853	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
5	1.109	0	0165	8	0D	F8	7F	00	00	00	03	89
6	1.877	0	02B0	5	E6	FF	00	07	C3	-1	-1	-1
7	2.133	0	043F	8	00	40	60	FF	50	44	0B	00
8	2.346	0	0370	8	FF	20	00	80	FF	00	00	A0
9	2.602	0	0440	8	FF	00	00	00	FF	44	0B	00
10	2.943	0	0316	8	05	2E	F4	0B	2E	1E	00	7F
11	3.157	0	02A0	8	62	00	45	90	B2	2B	60	0B
12	3.413	0	0080	8	00	17	F4	0B	2E	1E	2E	0B
13	3.626	0	0081	8	40	84	45	00	00	00	00	CB
14	3.882	0	018F	8	00	16	2E	00	00	4D	00	00
15	4.138	0	0260	8	05	2E	00	30	2E	9B	5F	3D
16	4.351	0	0329	8	D7	A2	81	8C	11	2E	00	10
17	4.607	0	0382	8	40	FE	0F	00	00	00	00	08
18	4.991	0	04F2	8	20	00	C0	38	00	00	00	9E
19	5.247	0	04B0	8	00	80	00	80	00	40	00	80
20	5.503	0	0164	8	00	08	00	00	00	00	06	0E
21	5.717	0	0545	8	D8	13	00	8B	85	00	87	00
22	9.898	0	0153	8	00	80	10	FF	00	FF	90	1E
23	10.154	0	0220	8	E9	33	0C	34	0C	10	04	10
24	10.879	0	04F2	8	20	00	10	38	00	00	00	E7
25	11.093	0	02B0	5	E5	FF	00	07	84	-1	-1	-1
26	11.306	0	04F0	8	00	00	88	00	00	6F	5D	00
27	11.562	0	0165	8	0D	F8	7F	00	00	00	04	8E
28	11.903	0	0316	8	05	2E	12	0C	2E	1E	00	7F
29	12.159	0	0260	8	05	2E	00	30	2E	9B	5F	00
30	12.415	0	018F	8	00	16	2E	00	00	4D	00	00
31	12.885	0	0080	8	00	17	12	0C	2E	1E	2E	EC
32	13.141	0	0081	8	40	84	45	00	00	00	00	BC
33	13.397	0	02A0	8	02	00	45	90	B2	2B	60	0B
34	13.653	0	02C0	8	3D	00	00	00	00	00	00	00
35	13.909	0	0329	8	D7	A2	81	8C	11	2E	00	10
36	14.165	0	0370	8	FF	20	00	80	FF	00	00	64
37	14.378	0	043F	8	00	40	60	FF	50	40	0B	00
38	14.634	0	0440	8	FF	50	00	00	FF	40	0B	00
39	14.933	0	04F0	8	00	00	3C	00	00	83	4F	0E
40	15.146	0	04B1	8	59	9E	EA	01	00	00	00	E2
41	15.402	0	0164	8	00	08	00	00	00	00	07	0F
42	15.658	0	0545	8	D8	13	00	8B	85	00	85	00
43	15.914	0	0350	8	05	68	15	44	46	20	00	5A
44	19.925	0	0153	8	00	80	10	FF	00	FF	A0	2E
45	20.181	0	01F1	8	00	99	00	00	00	00	00	00
46	20.437	0	0220	8	EA	3B	08	04	0C	10	01	10
47	20.821	0	02B0	5	E5	FF	00	07	95	-1	-1	-1
48	21.077	0	0165	8	0D	08	80	00	00	00	05	80
49	21.887	0	0316	8	05	2E	18	0C	2E	1E	00	7F
50	22.143	0	0260	8	05	2E	00	30	2E	9B	5F	1F
51	22.357	0	02A0	8	A2	00	45	90	B2	2B	60	0B
52	22.911	0	0080	8	00	17	18	0C	2E	1E	2E	7D
53	23.125	0	0081	8	40	84	45	00	00	00	00	AD
54	23.381	0	018F	8	00	16	2E	00	00	4D	00	00
55	23.637	0	0329	8	D7	A2	81	8C	11	2E	00	10
56	23.935	0	0370	8	FF	20	00	80	FF	00	00	28
57	24.148	0	0382	8	40	FE	0F	00	00	00	00	0C
58	24.404	0	043F	8	00	40	60	FF	50	48	0B	00
59	24.660	0	0440	8	FF	A0	00	00	FF	50	0B	00
60	24.916	0	04F2	8	20	00	C0	38	00	00	00	9F
61	25.172	0	04B0	8	00	C0	00	80	00	40	00	80
62	25.428	0	0164	8	00	08	00	00	00	00	08	00
63	25.684	0	0510	8	00	00	00	00	00	00	00	00
64	25.898	0	0545	8	D8	13	00	8C	86	00	86	00
65	27.903	0	00A0	8	5F	71	F4	0B	00	23	00	02
66	28.159	0	00A1	8	7F	81	80	80	2F	00	00	00
67	29.695	0	04F2	8	20	00	10	38	00	00	00	E8
68	29.951	0	0153	8	00	80	10	FF	00	FF	B0	3E
69	30.164	0	04F0	8	00	00	8A	00	00	6F	5D	00
70	30.420	0	0220	8	EB	03	03	0C	0C	00	FF	0F
71	30.847	0	02B0	5	E5	FF	00	07	A6	-1	-1	-1
72	31.871	0	0165	8	0D	F8	7F	00	00	00	06	8C
73	32.127	0	0316	8	05	2E	18	0C	2E	1E	00	7F
74	32.383	0	0260	8	05	2E	00	30	2E	9B	5F	2E
75	32.596	0	018F	8	00	16	2E	00	00	4D	00	00
76	32.895	0	0080	8	00	17	18	0C	2E	1E	2E	6E
77	33.151	0	0081	8	40	84	45	00	00	00	00	9E
78	33.364	0	02A0	8	C2	00	45	90	B2	2B	60	0B
79	33.620	0	0329	8	D7	A2	81	8C	11	2E	00	10
80	33.919	0	0370	8	FF	20	00	80	FF	00	00	EC
81	34.132	0	043F	8	00	40	60	FF	50	58	0B	00
82	34.388	0	0440	8	FF	F0	00	00	FF	68	0B	00
83	34.644	0	04F0	8	00	00	3E	00	00	83	4F	0E
84	34.858	0	0545	8	D8	1D	00	8B	86	00	86	00
85	35.114	0	04B1	8	59	9E	EA	01	00	00	00	E2
86	35.370	0	0164	8	00	08	00	00	00	00	09	01
87	35.839	0	0350	8	05	68	25	44	46	20	00	6A
88	39.807	0	0153	8	00	80	10	FF	00	FF	C0	4E
89	40.063	0	01F1	8	00	99	00	00	00	00	00	00
90	40.319	0	0220	8	EA	0B	03	1C	0C	00	FF	0F
91	40.746	0	02B0	5	E6	FF	00	07	87	-1	-1	-1
92	41.812	0	0165	8	0D	F8	7F	00	00	00	07	8D
93	42.068	0	043F	8	00	40	60	FF	50	60	0B	00
94	42.324	0	0370	8	FF	20	00	80	FF	00	00	A0
95	42.538	0	0316	8	05	2D	14	0C	2D	1E	00	7F
96	42.879	0	018F	8	00	16	2D	00	00	4D	00	00
97	43.092	0	0080	8	00	17	14	0C	2D	1E	2D	BF
98	43.348	0	0081	8	40	84	45	00	00	00	00	8F
99	43.562	0	0260	8	05	2D	00	30	2E	9B	5D	30
100	43.818	0	02A0	8	62	00	45	90	B2	2B	60	0B
