No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0350	8	05	68	D5	44	46	20	00	9A
2	3.541	0	0153	8	00	80	10	FF	00	FF	60	EE
3	3.797	0	01F1	8	00	99	00	00	00	00	00	00
4	4.010	0	0220	8	E9	3B	03	1C	09	00	FF	0F
5	4.522	0	02B0	5	E5	FF	00	07	1D	-1	-1	-1
6	4.778	0	0165	8	0D	08	80	00	00	00	0D	88
7	5.503	0	0316	8	05	2D	08	0C	2D	1E	00	7F
8	5.759	0	0018	8	00	00	00	60	00	00	20	00
9	6.015	0	0260	8	05	2D	00	30	2E	9B	5F	10
10	6.527	0	0080	8	00	17	08	0C	2D	1E	2D	25
11	6.783	0	0081	8	40	84	45	00	00	00	00	25
12	7.039	0	018F	8	00	16	2D	00	00	4D	00	00
13	7.253	0	02A0	8	A2	00	45	90	B2	2B	60	0B
14	7.594	0	0329	8	0F	A2	81	8C	11	2D	00	10
15	7.850	0	0370	8	FF	20	00	80	FF	00	00	28
16	8.063	0	0382	8	40	FE	0F	00	00	00	00	0C
17	8.319	0	043F	8	00	40	60	FF	50	7C	0B	00
18	8.575	0	0440	8	FF	A0	00	00	FF	6C	0B	00
19	8.831	0	04B0	8	00	C0	00	40	00	40	00	80
20	9.087	0	0164	8	00	08	00	00	00	00	00	08
21	9.301	0	04F2	8	20	00	20	38	00	00	00	BB
22	9.557	0	0545	8	D8	1D	00	8B	82	00	80	00
23	13.226	0	04F2	8	20	00	70	38	00	00	00	84
24	13.567	0	0153	8	00	80	10	FF	00	FF	70	FE
25	13.781	0	04F0	8	00	00	C2	00	00	6F	5D	00
26	14.037	0	0220	8	E9	03	07	04	0C	00	FF	0F
27	14.293	0	04F1	8	00	12	03	00	00	00	00	00
28	14.463	0	02B0	5	E5	FF	00	07	2E	-1	-1	-1
29	14.719	0	0690	8	03	00	00	20	80	00	38	00
30	14.933	0	0165	8	0D	F8	7F	00	00	00	0E	84
31	15.530	0	0316	8	05	2D	0C	0C	2D	1E	00	7F
32	15.743	0	0260	8	05	2D	00	30	2E	9B	61	2C
33	15.999	0	018F	8	00	16	2D	00	00	4D	00	00
34	16.511	0	0080	8	00	17	0C	0C	2D	1E	2D	D6
35	16.767	0	0081	8	40	84	45	00	00	00	00	16
36	16.981	0	02A0	8	C2	00	45	90	B2	2B	60	0B
37	17.237	0	0329	8	40	A2	81	8C	11	2D	00	10
38	17.493	0	0370	8	FF	20	00	80	FF	00	00	EC
39	17.706	0	043F	8	00	40	60	FF	50	78	0B	00
40	17.962	0	0440	8	FF	F0	00	00	FF	74	0B	00
41	18.218	0	04F0	8	00	00	76	00	00	83	4F	0E
42	18.474	0	0545	8	D8	1D	00	8A	80	00	83	00
43	18.687	0	04B1	8	59	9E	EA	01	00	00	00	E2
44	18.943	0	0164	8	00	08	00	00	00	00	01	09
45	19.498	0	0350	8	05	68	E5	44	46	20	00	AA
46	23.551	0	0153	8	00	80	10	FF	00	FF	80	0E
47	23.807	0	01F1	8	00	99	00	00	00	00	00	00
48	24.063	0	0220	8	E9	0B	07	04	0C	00	FF	0F
49	24.447	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
50	24.703	0	0165	8	0D	F8	7F	00	00	00	0F	85
