No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	0153	8	00	80	10	FF	00	FF	70	FE
2	0.256	0	01F1	8	00	99	00	00	00	00	00	00
3	0.981	0	0220	8	E3	0B	06	14	0C	00	FF	0F
4	1.962	0	0316	8	05	2C	04	0C	2D	1E	00	7F
5	2.218	0	0165	8	0F	08	80	00	00	00	0F	88
6	2.474	0	0080	8	00	17	04	0C	2C	1E	2D	57
7	2.986	0	0081	8	40	84	45	00	00	00	00	07
8	3.200	0	018F	8	00	16	2D	00	00	4E	00	00
9	3.456	0	0260	8	05	2D	00	30	2E	9C	5D	3F
10	3.712	0	02A0	8	62	00	45	90	B2	2B	60	0B
11	3.882	0	02B0	5	E6	FF	00	07	0F	-1	-1	-1
12	4.138	0	0329	8	85	A1	81	8C	11	2D	00	10
13	4.352	0	0370	8	FF	20	00	80	FF	00	00	A0
14	4.608	0	0382	8	40	FE	0F	00	00	00	00	00
15	4.864	0	043F	8	00	40	60	FF	51	A0	0B	00
16	5.120	0	0440	8	FF	00	00	00	FF	A8	0B	00
17	5.333	0	04F2	8	20	00	00	38	00	00	00	A4
18	5.589	0	04B0	8	00	00	00	00	00	40	00	80
19	5.845	0	0164	8	00	08	00	00	00	00	02	0A
20	6.101	0	0545	8	D8	14	00	8B	7B	00	7D	00
21	9.984	0	0153	8	00	80	10	FF	00	FF	80	0E
22	10.197	0	04F2	8	20	00	50	38	00	00	00	ED
23	10.453	0	0220	8	E6	13	03	14	0C	00	FF	0F
24	10.666	0	04F0	8	00	00	94	00	00	6F	5D	00
25	11.903	0	0316	8	05	2C	04	0C	2D	1E	00	7F
26	12.159	0	0165	8	0E	08	80	00	00	00	00	86
27	12.415	0	018F	8	00	16	2D	00	00	4E	00	00
28	12.970	0	0080	8	00	17	04	0C	2C	1E	2D	48
29	13.226	0	0081	8	40	84	45	00	00	00	00	F8
30	13.439	0	0260	8	05	2D	00	30	2E	9C	5D	02
31	13.695	0	02A0	8	02	00	45	90	B2	2B	60	0B
32	13.866	0	02B0	5	E5	FF	00	07	C0	-1	-1	-1
33	14.122	0	0329	8	85	A1	81	8C	11	2D	00	10
34	14.378	0	0370	8	FF	20	00	80	FF	00	00	64
35	14.591	0	043F	8	00	40	60	FF	51	98	0B	00
36	14.933	0	0440	8	FF	50	00	00	FF	90	0B	00
37	15.189	0	04F0	8	00	00	48	00	00	83	4F	0E
38	15.445	0	0545	8	D8	14	00	8B	7B	00	7D	00
39	15.658	0	04B1	8	59	9E	EA	01	00	00	00	E2
40	15.914	0	0164	8	00	08	00	00	00	00	03	0B
41	16.170	0	059B	8	00	00	00	00	00	00	00	00
42	16.426	0	0350	8	05	68	75	44	46	20	00	3A
43	19.967	0	0153	8	00	80	10	FF	00	FF	90	1E
44	20.181	0	01F1	8	00	99	00	00	00	00	00	00
45	20.949	0	0220	8	E7	1B	06	24	0C	10	02	10
46	21.930	0	02B0	5	E6	FF	00	07	E1	-1	-1	-1
47	22.186	0	0165	8	0E	08	80	00	00	00	01	87
48	22.442	0	0316	8	05	2C	04	0C	2D	1E	00	7F
49	22.997	0	0080	8	00	17	04	0C	2C	1E	2D	39
50	23.210	0	0081	8	40	84	45	00	00	00	00	E9
51	23.466	0	0110	8	D0	3C	40	09	00	00	00	00
52	23.722	0	018F	8	00	16	2D	00	00	4E	00	00
53	23.978	0	0260	8	05	2D	00	30	2E	9C	5D	11
54	24.234	0	02A0	8	A2	00	45	90	B2	2B	60	0B
55	24.447	0	0329	8	85	A1	81	8C	11	2D	00	10
56	24.703	0	0370	8	FF	20	00	80	FF	00	00	28
57	24.959	0	0382	8	40	FE	0F	00	00	00	00	04
58	25.215	0	043F	8	00	40	60	FF	51	94	0B	00
59	25.471	0	0440	8	FF	A0	00	00	FF	94	0B	00
60	25.727	0	04B0	8	00	40	00	00	00	40	00	80
61	26.965	0	0164	8	00	08	00	00	00	00	04	0C
62	27.221	0	04F2	8	20	00	10	38	00	00	00	A5
63	27.477	0	0545	8	D8	14	00	8A	7A	00	7C	00
64	27.690	0	0587	8	00	00	00	00	00	00	00	05
65	29.994	0	04F2	8	20	00	60	38	00	00	00	EE
66	30.207	0	0153	8	00	80	10	FF	00	FF	A0	2E
67	30.463	0	04F0	8	00	00	96	00	00	6F	5D	00
68	30.677	0	0220	8	E8	23	06	04	0C	10	04	10
69	31.871	0	02B0	5	E5	FF	00	07	E2	-1	-1	-1
70	32.127	0	0165	8	0E	F8	7F	00	00	00	02	8B
71	32.383	0	0316	8	05	2E	F2	0B	2E	1E	00	7F
72	32.938	0	0080	8	00	17	F2	0B	2E	1E	2E	3A
73	33.194	0	0081	8	40	84	45	00	00	00	00	DA
74	33.407	0	018F	8	00	16	2E	00	00	4E	00	00
75	33.663	0	0260	8	05	2E	00	30	2E	9C	61	2A
76	33.919	0	02A0	8	C2	00	45	90	B2	2B	60	0B
77	34.175	0	0329	8	D7	A1	81	8C	11	2D	00	10
78	34.388	0	0370	8	FF	20	00	80	FF	00	00	EC
79	34.644	0	043F	8	00	40	60	FF	51	8C	0B	00
80	34.986	0	0440	8	FF	F0	00	00	FF	88	0B	00
81	35.242	0	04F0	8	00	00	4A	00	00	83	4F	0E
82	35.455	0	0545	8	D8	14	00	8B	88	00	8A	00
83	35.711	0	04B1	8	59	9E	EA	01	00	00	00	E2
84	35.967	0	0164	8	00	08	00	00	00	00	05	0D
85	36.180	0	04F1	8	40	19	00	00	00	00	00	00
86	36.436	0	0690	8	03	00	00	20	80	00	04	00
87	36.906	0	0350	8	05	68	85	44	46	20	00	CA
88	40.020	0	0153	8	00	80	10	FF	00	FF	B0	3E
89	40.276	0	01F1	8	00	99	00	00	00	00	00	00
90	40.959	0	0220	8	E8	2B	05	04	0C	10	04	10
91	41.940	0	0316	8	05	2E	FA	0B	2E	1E	00	7F
92	42.196	0	0165	8	0E	08	80	00	00	00	03	85
93	42.452	0	0260	8	05	2E	00	30	2E	9C	61	39
94	42.964	0	0080	8	00	17	FA	0B	2E	1E	2E	AB
95	43.220	0	0081	8	40	84	45	00	00	00	00	CB
96	43.476	0	018F	8	00	16	2E	00	00	4E	00	00
97	43.690	0	02A0	8	62	00	45	90	B2	2B	60	0B
98	44.842	0	02B0	5	E5	FF	00	07	F3	-1	-1	-1
99	45.098	0	0329	8	D7	A1	81	8C	11	2D	00	10
100	45.354	0	0370	8	FF	20	00	80	FF	00	00	A0
