No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04F2	8	20	00	20	38	00	00	00	BE
2	0.299	0	04F0	8	00	00	36	00	00	6F	5D	00
3	0.555	0	0153	8	00	80	10	FF	00	FF	30	BE
4	0.811	0	0220	8	E9	23	02	24	0C	30	FF	0F
5	1.280	0	02B0	5	E6	FF	00	07	D2	-1	-1	-1
6	1.493	0	0165	8	0D	F8	7F	00	00	00	02	88
7	2.261	0	0316	8	05	2D	08	0C	2D	1E	00	7F
8	2.517	0	0260	8	05	2D	00	30	2E	9C	5D	20
9	2.773	0	018F	8	00	16	2D	00	00	4D	00	00
10	2.986	0	0080	8	00	17	08	0C	2D	1E	2D	DA
11	3.285	0	0081	8	40	84	45	00	00	00	00	DA
12	3.541	0	02A0	8	C2	00	45	90	B2	2B	60	0B
13	3.754	0	0329	8	0F	A2	81	8C	11	2D	00	10
14	4.010	0	0370	8	FF	20	00	80	FF	00	00	EC
15	4.352	0	043F	8	00	40	60	FF	51	6C	0B	00
16	4.608	0	0440	8	FF	F0	00	00	FF	78	0B	00
17	4.864	0	04F0	8	00	00	EA	00	00	83	4F	0E
18	5.077	0	0545	8	D8	14	00	8B	84	00	86	00
19	5.333	0	059B	8	00	00	00	00	00	00	00	C4
20	5.589	0	04B1	8	59	9E	EA	01	00	00	00	E2
21	5.845	0	0164	8	00	08	00	00	00	00	05	0D
22	6.314	0	0350	8	05	68	85	44	46	20	00	CA
23	10.410	0	0153	8	00	80	10	FF	00	FF	40	CE
24	10.624	0	01F1	8	00	99	00	00	00	00	00	00
25	10.880	0	0220	8	E9	2B	05	14	09	00	FF	0F
26	11.306	0	02B0	5	E5	FF	00	07	F3	-1	-1	-1
27	12.330	0	0165	8	0D	F8	7F	00	00	00	03	89
28	12.586	0	0316	8	05	2D	28	0C	2D	1E	00	7F
29	12.800	0	018F	8	00	16	2D	00	00	4D	00	00
30	13.056	0	0080	8	00	17	28	0C	2D	1E	2D	AB
31	13.312	0	0081	8	40	84	45	00	00	00	00	CB
32	13.525	0	0110	8	D0	3C	40	09	00	00	00	00
33	13.781	0	0260	8	05	2D	00	30	2E	9B	5D	30
34	14.037	0	02A0	8	62	00	45	90	B2	2B	60	0B
35	14.250	0	0329	8	0F	A2	81	8C	11	2D	00	10
36	14.506	0	0370	8	FF	20	00	80	FF	00	00	A0
37	14.762	0	0382	8	40	FE	0F	00	00	00	00	08
38	15.018	0	043F	8	00	40	60	FF	51	78	0B	00
39	15.232	0	0440	8	FF	00	00	00	FF	84	0B	00
40	15.488	0	04B0	8	00	80	00	00	00	40	00	80
41	15.744	0	0164	8	00	08	00	00	00	00	06	0E
42	16.000	0	04F2	8	20	00	E0	38	00	00	00	F6
43	16.256	0	0545	8	D8	14	00	8B	81	00	82	00
44	16.469	0	0587	8	00	00	00	00	00	00	00	00
45	20.010	0	04F2	8	20	00	30	38	00	00	00	BF
46	20.309	0	0153	8	00	80	10	FF	00	FF	50	DE
47	20.522	0	04F0	8	00	00	38	00	00	6F	5D	00
48	20.778	0	0220	8	E7	33	07	34	0C	00	FF	0F
49	21.248	0	02B0	5	E5	FF	00	07	84	-1	-1	-1
50	21.504	0	0165	8	0D	F8	7F	00	00	00	04	8E
51	22.314	0	043F	8	00	40	60	FF	51	78	0B	00
52	22.485	0	0050	4	00	83	00	00	-1	-1	-1	-1
53	22.741	0	0260	8	05	2D	00	30	2E	9B	5D	03
54	23.338	0	0080	8	00	17	28	0C	2D	1E	2D	9C
55	23.552	0	0081	8	40	84	45	00	00	00	00	BC
56	23.808	0	018F	8	00	16	2D	00	00	4D	00	00
57	24.063	0	02A0	8	02	00	45	90	B2	2B	60	0B
58	24.277	0	0316	8	05	2D	28	0C	2D	1E	00	7F
59	24.533	0	0329	8	0F	A2	81	8C	11	2D	00	10
60	24.789	0	0370	8	FF	20	00	80	FF	00	00	64
61	25.002	0	0440	8	FF	50	00	00	FF	78	0B	00
62	25.258	0	04F0	8	00	00	EC	00	00	83	4F	0E
63	25.514	0	04B1	8	59	9E	EA	01	00	00	00	E2
64	25.770	0	0164	8	00	08	00	00	00	00	07	0F
65	25.983	0	04F1	8	40	19	00	00	00	00	00	00
66	26.239	0	0545	8	D8	14	00	89	81	00	82	00
67	26.495	0	051A	8	00	03	00	00	00	00	00	00
68	26.751	0	0690	8	03	00	00	20	80	00	38	00
69	26.965	0	0350	8	05	68	95	44	46	20	00	DA
70	30.421	0	0153	8	00	80	10	FF	00	FF	60	EE
71	30.634	0	01F1	8	00	99	00	00	00	00	00	00
72	30.890	0	0220	8	E7	3B	04	34	0C	10	02	10
73	31.317	0	02B0	5	E6	FF	00	07	A5	-1	-1	-1
74	31.573	0	0165	8	0C	F8	7F	00	00	00	05	8E
75	32.341	0	043F	8	00	40	60	FF	51	74	0B	00
76	32.597	0	0018	8	00	00	00	60	00	00	20	00
77	32.810	0	018F	8	00	16	2D	00	00	4D	00	00
78	33.322	0	0080	8	00	17	24	0C	2D	1E	2D	CD
79	33.578	0	0081	8	40	84	45	00	00	00	00	AD
80	33.791	0	0260	8	05	2D	00	30	2E	9B	5D	12
