No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	04F2	8	20	00	50	38	00	00	00	AC
2	0.256	0	0153	8	00	80	10	FF	00	FF	B0	3E
3	0.469	0	04F0	8	00	00	12	00	00	6F	5D	00
4	0.725	0	0220	8	E9	03	02	04	0C	10	04	10
5	1.109	0	02B0	5	E6	FF	00	07	1E	-1	-1	-1
6	1.408	0	0165	8	0C	08	80	00	00	00	0E	8A
7	2.133	0	0316	8	05	2B	5C	0C	2B	20	00	7F
8	2.347	0	0260	8	05	2B	00	30	2E	9C	55	2A
9	2.603	0	018F	8	00	16	2B	00	00	4D	00	00
10	3.157	0	0080	8	00	17	5C	0C	2B	20	2B	96
11	3.413	0	0081	8	40	84	45	00	00	00	00	16
12	3.627	0	02A0	8	C2	00	45	90	B2	2B	60	0B
13	3.840	0	0329	8	D7	A2	81	8C	11	2D	00	10
14	4.139	0	0370	8	FF	20	00	80	FF	00	00	EC
15	4.395	0	043F	8	00	40	60	FF	50	A4	0B	00
16	4.608	0	0440	8	FF	F0	00	00	FF	AC	0B	00
17	4.864	0	04F0	8	00	00	C6	00	00	83	4F	0E
18	5.163	0	0545	8	D8	16	00	8B	65	00	66	00
19	5.376	0	04B1	8	59	9E	EA	01	00	00	00	E2
20	5.632	0	0164	8	00	08	00	00	00	00	01	09
21	6.187	0	0350	8	05	68	65	44	46	20	00	2A
22	10.155	0	0153	8	00	80	10	FF	00	FF	C0	4E
23	10.411	0	01F1	8	00	99	00	00	00	00	00	00
24	10.667	0	0220	8	E8	0B	04	14	0C	10	04	10
25	11.051	0	02B0	5	E5	FF	00	07	3F	-1	-1	-1
26	11.307	0	0165	8	0C	08	80	00	00	00	0F	8B
27	12.117	0	0316	8	05	2A	56	0C	2A	20	00	7F
28	12.331	0	018F	8	00	16	2A	00	00	4D	00	00
29	12.587	0	0080	8	00	17	56	0C	2A	20	2A	07
30	13.099	0	0081	8	40	84	45	00	00	00	00	07
31	13.355	0	0260	8	05	2A	00	30	2E	9C	53	3C
32	13.568	0	02A0	8	62	00	45	90	B2	2B	60	0B
33	13.824	0	0329	8	D7	A2	81	8C	11	2D	00	10
34	14.080	0	0370	8	FF	20	00	80	FF	00	00	A0
35	14.336	0	0382	8	40	FE	0F	00	00	00	00	00
36	14.549	0	043F	8	00	40	60	FF	50	A8	0B	00
37	14.805	0	0440	8	FF	00	00	00	FF	B0	0B	00
38	15.061	0	04F2	8	20	00	00	38	00	00	00	E4
39	15.275	0	0545	8	D8	16	00	8B	5B	00	5F	00
40	15.531	0	04B0	8	00	00	00	00	00	40	00	80
41	15.787	0	0164	8	00	08	00	00	00	00	02	0A
42	19.968	0	04F2	8	20	00	50	38	00	00	00	AD
43	20.181	0	0153	8	00	80	10	FF	00	FF	D0	5E
44	20.437	0	04F0	8	00	00	14	00	00	6F	5D	00
45	20.693	0	0220	8	E8	13	02	14	0C	10	04	10
46	21.034	0	02B0	5	E5	FF	00	07	C0	-1	-1	-1
47	22.058	0	0165	8	0C	F8	7F	00	00	00	00	8B
48	22.314	0	0316	8	05	2A	52	0C	2A	20	00	7F
49	22.570	0	018F	8	00	16	2A	00	00	4D	00	00
50	22.784	0	0260	8	05	2A	00	30	2E	9C	53	0F
51	23.040	0	0080	8	00	17	52	0C	2A	20	2A	38
52	23.296	0	0081	8	40	84	45	00	00	00	00	F8
53	23.552	0	02A0	8	02	00	45	90	B2	2B	60	0B
54	23.765	0	0329	8	0F	A2	81	8C	11	2D	00	10
55	24.106	0	0370	8	FF	20	00	80	FF	00	00	64
56	24.362	0	043F	8	00	40	60	FF	50	AC	0B	00
57	24.576	0	0440	8	FF	50	00	00	FF	B0	0B	00
58	24.832	0	04F0	8	00	00	C8	00	00	83	4F	0E
59	25.088	0	0545	8	D8	16	00	8B	5C	00	60	00
60	25.344	0	059B	8	00	00	00	00	00	00	00	00
61	25.600	0	04B1	8	59	9E	EA	01	00	00	00	E2
62	25.856	0	0164	8	00	08	00	00	00	00	03	0B
63	26.069	0	0350	8	05	68	75	44	46	20	00	3A
64	30.037	0	0153	8	00	80	10	FF	00	FF	E0	6E
65	30.250	0	01F1	8	00	99	00	00	00	00	00	00
66	30.506	0	0220	8	E9	1B	00	14	0C	10	04	10
67	31.018	0	02B0	5	E5	FF	00	07	D1	-1	-1	-1
68	31.274	0	0165	8	0C	08	80	00	00	00	01	85
69	32.085	0	0110	8	D0	3C	40	09	00	00	00	00
70	32.298	0	0316	8	05	2A	52	0C	2A	20	00	7F
71	33.109	0	018F	8	00	16	2A	00	00	4D	00	00
72	33.322	0	0080	8	00	17	52	0C	2A	20	2A	29
73	33.578	0	0081	8	40	84	45	00	00	00	00	E9
74	33.792	0	0260	8	05	2A	00	30	2E	9C	53	1E
75	34.048	0	02A0	8	A2	00	45	90	B2	2B	60	0B
76	34.304	0	0329	8	0F	A2	81	8C	11	2D	00	10
77	34.517	0	0370	8	FF	20	00	80	FF	00	00	28
78	34.773	0	0382	8	40	FE	0F	00	00	00	00	04
79	35.029	0	043F	8	00	40	60	FF	50	A4	0B	00
80	35.285	0	0440	8	FF	A0	00	00	FF	9C	0B	00
81	35.498	0	04B0	8	00	40	00	00	00	40	00	80
82	35.754	0	0164	8	00	08	00	00	00	00	04	0C
83	36.010	0	04F2	8	20	00	10	38	00	00	00	E5
84	36.266	0	0545	8	D8	16	00	8B	5C	00	60	00
85	36.522	0	0587	8	00	00	00	00	00	00	00	01
86	39.978	0	04F2	8	20	00	60	38	00	00	00	AE
87	40.192	0	0153	8	00	80	10	FF	00	FF	00	8E
88	40.448	0	04F0	8	00	00	16	00	00	6F	5D	00
89	40.704	0	0220	8	E9	23	03	34	0C	10	04	10
90	41.088	0	02B0	5	E5	FF	00	07	E2	-1	-1	-1
91	42.112	0	0165	8	0C	F8	7F	00	00	00	02	89
92	42.367	0	0316	8	05	2A	52	0C	2A	20	00	7F
93	42.581	0	0329	8	0F	A2	81	8C	11	2D	00	10
94	42.837	0	0370	8	FF	20	00	80	FF	00	00	EC
95	43.178	0	043F	8	00	40	60	FF	50	A0	0B	00
96	43.434	0	0080	8	00	17	52	0C	2A	20	2A	1A
97	43.690	0	0081	8	40	84	45	00	00	00	00	DA
98	43.903	0	018F	8	00	16	2A	00	00	4D	00	00
99	44.159	0	0260	8	05	2A	00	30	2E	9C	53	2D
100	44.373	0	02A0	8	C2	00	45	90	B2	2B	60	0B
