No	Time_Offset	Type	ID	Data_Length	One	Two	Three	Four	Five	Six	Seven	Eight
1	0.000	0	05E4	3	00	00	00	-1	-1	-1	-1	-1
2	0.256	0	0165	8	0D	08	80	00	00	00	0B	8E
3	0.427	0	02B0	5	E5	FF	00	07	7B	-1	-1	-1
4	0.683	0	0080	8	00	17	58	0C	2A	1E	2A	53
5	1.152	0	0081	8	40	84	45	00	00	00	00	43
6	1.366	0	018F	8	00	16	2A	00	00	4D	00	00
7	1.622	0	0260	8	05	2A	00	30	2E	9C	59	36
8	1.835	0	02A0	8	62	00	45	90	B2	2B	60	0B
9	2.091	0	0316	8	05	2A	58	0C	2A	1E	00	7F
10	2.347	0	0329	8	D7	A1	81	8C	11	2D	00	10
11	2.603	0	0370	8	FF	20	00	80	FF	00	00	A0
12	2.859	0	0382	8	40	FE	0F	00	00	00	00	08
13	3.115	0	043F	8	00	40	60	FF	51	98	0B	00
14	3.328	0	0440	8	FF	00	00	00	FF	A4	0B	00
15	3.584	0	04F2	8	20	00	00	38	00	00	00	D2
16	3.840	0	04B0	8	00	80	00	C0	00	40	00	80
17	4.096	0	0164	8	00	08	00	00	00	00	0E	06
18	4.352	0	0545	8	D8	1D	00	8A	64	00	64	00
19	7.168	0	02C0	8	3D	00	00	00	00	00	00	00
20	8.149	0	0153	8	00	80	10	FF	00	FF	90	1E
21	8.363	0	0220	8	E6	33	04	2C	0C	30	FF	0F
22	9.472	0	04F2	8	20	00	50	38	00	00	00	9B
23	9.728	0	04F0	8	00	00	F0	00	00	6F	5D	00
24	10.069	0	02B0	5	E5	FF	00	07	0C	-1	-1	-1
25	10.283	0	0165	8	0D	08	80	00	00	00	0C	89
26	10.539	0	02A0	8	02	00	45	90	B2	2B	60	0B
27	11.136	0	0080	8	00	17	58	0C	2A	1E	2A	44
28	11.392	0	0081	8	40	84	45	00	00	00	00	34
29	11.605	0	018F	8	00	16	2A	00	00	4D	00	00
30	11.861	0	0260	8	05	2A	00	30	2E	9C	59	09
31	12.117	0	0316	8	05	2A	58	0C	2A	1E	00	7F
32	12.373	0	0329	8	D7	A1	81	8C	11	2D	00	10
33	12.587	0	0370	8	FF	20	00	80	FF	00	00	64
34	12.843	0	043F	8	00	40	60	FF	51	9C	0B	00
35	13.099	0	0440	8	FF	50	00	00	FF	A0	0B	00
36	13.312	0	04F0	8	00	00	A4	00	00	83	4F	0E
37	13.568	0	0545	8	D8	1D	00	8B	64	00	64	00
38	13.824	0	04B1	8	59	9E	EA	01	00	00	00	E2
39	14.037	0	0164	8	00	08	00	00	00	00	0F	07
40	14.293	0	0350	8	05	68	55	44	46	20	00	1A
41	18.133	0	0153	8	00	80	10	FF	00	FF	A0	2E
42	18.389	0	01F1	8	00	99	00	00	00	00	00	00
43	19.157	0	0220	8	E7	3B	06	0C	0C	00	FF	0F
44	20.096	0	02B0	5	E5	FF	00	07	1D	-1	-1	-1
45	20.309	0	0165	8	0D	F8	7F	00	00	00	0D	87
46	20.565	0	02A0	8	A2	00	45	90	B2	2B	60	0B
47	21.120	0	0316	8	05	2A	58	0C	2A	1E	00	7F
48	21.376	0	0080	8	00	17	58	0C	2A	1E	2A	35
49	21.589	0	0081	8	40	84	45	00	00	00	00	25
50	21.845	0	018F	8	00	16	2A	00	00	4D	00	00
51	22.144	0	0260	8	05	2A	00	30	2E	9C	59	18
52	22.400	0	0329	8	D7	A1	81	8C	11	2D	00	10
53	22.656	0	0370	8	FF	20	00	80	FF	00	00	28
54	22.869	0	0382	8	40	FE	0F	00	00	00	00	0C
55	23.125	0	043F	8	00	40	60	FF	51	94	0B	00
56	23.381	0	0440	8	FF	A0	00	00	FF	90	0B	00
57	23.637	0	04F2	8	20	00	00	38	00	00	00	D3
58	23.893	0	04B0	8	00	C0	00	C0	00	40	00	80
59	24.107	0	0164	8	00	08	00	00	00	00	00	08
60	24.363	0	0510	8	00	00	00	00	00	00	00	00
61	24.619	0	0545	8	D8	1D	00	8B	63	00	63	00
62	26.155	0	00A0	8	5D	70	54	0C	00	23	00	02
63	26.368	0	00A1	8	7F	81	80	80	2E	00	00	00
64	28.160	0	0153	8	00	80	10	FF	00	FF	B0	3E
65	28.416	0	04F2	8	20	00	50	38	00	00	00	9C
66	28.672	0	0220	8	E7	03	06	04	0C	00	FF	0F
67	28.885	0	04F0	8	00	00	F2	00	00	6F	5D	00
68	30.122	0	02B0	5	E5	FF	00	07	2E	-1	-1	-1
69	30.336	0	0165	8	0D	F8	7F	00	00	00	0E	84
70	30.592	0	02A0	8	C2	00	45	90	B2	2B	60	0B
71	31.146	0	0260	8	05	2A	00	30	2E	9C	59	27
72	31.402	0	0080	8	00	17	48	0C	2A	1E	2A	36
73	31.616	0	0081	8	40	84	45	00	00	00	00	16
74	31.872	0	018F	8	00	16	2A	00	00	4D	00	00
75	32.128	0	0316	8	05	2A	48	0C	2A	1E	00	7F
76	32.341	0	0329	8	D7	A1	81	8C	11	2D	00	10
77	32.597	0	0370	8	FF	20	00	80	FF	00	00	EC
78	32.853	0	043F	8	00	40	60	FF	51	9C	0B	00
79	33.066	0	0440	8	FF	F0	00	00	FF	A8	0B	00
80	33.322	0	04F0	8	00	00	A6	00	00	83	4F	0E
81	33.578	0	0545	8	D8	13	00	8B	64	00	65	00
82	33.792	0	04B1	8	59	9E	EA	01	00	00	00	E2
83	34.048	0	0164	8	00	08	00	00	00	00	01	09
84	34.304	0	0350	8	05	68	65	44	46	20	00	2A
85	38.229	0	0153	8	00	80	10	FF	00	FF	C0	4E
86	38.442	0	01F1	8	00	99	00	00	00	00	00	00
87	38.698	0	0220	8	EA	0B	02	24	0C	30	FF	0F
88	40.106	0	02B0	5	E5	FF	00	07	3F	-1	-1	-1
89	40.320	0	0165	8	0D	08	80	00	00	00	0F	8A
90	40.576	0	02A0	8	62	00	45	90	B2	2B	60	0B
91	41.130	0	0080	8	00	17	28	0C	2A	1E	2A	47
92	41.386	0	0081	8	40	84	45	00	00	00	00	07
93	41.642	0	018F	8	00	16	2A	00	00	4D	00	00
94	41.856	0	0260	8	05	2A	00	30	2E	9C	59	36
95	42.112	0	0316	8	05	2A	28	0C	2A	1E	00	7F
96	42.368	0	0329	8	D7	A1	81	8C	11	2D	00	10
97	42.581	0	0370	8	FF	20	00	80	FF	00	00	A0
98	42.837	0	0382	8	40	FE	0F	00	00	00	00	00
99	43.093	0	043F	8	00	40	60	FF	51	A8	0B	00
100	43.349	0	0440	8	FF	00	00	00	FF	B4	0B	00
